time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,9998,2,1,0
2.0,2,9998,2,1,0
3.0,2,9998,2,1,0
4.0,2,9998,2,1,0
5.0,3,9997,3,1,0
6.0,7,9993,7,2,0
7.0,7,9993,7,2,0
8.0,9,9991,9,3,0
9.0,12,9988,12,3,0
10.0,17,9983,17,3,0
11.0,21,9978,21,3,0
12.0,32,9967,32,4,0
13.0,41,9958,41,6,0
14.0,49,9949,49,7,1
15.0,65,9932,65,12,1
16.0,90,9904,90,14,1
17.0,120,9874,120,18,1
18.0,164,9829,164,28,1
19.0,210,9780,210,38,1
20.0,286,9698,286,50,2
21.0,369,9610,369,72,2
22.0,514,9454,514,103,3
23.0,681,9280,681,148,3
24.0,890,9064,890,201,3
25.0,1142,8800,1142,256,3
26.0,1440,8475,1440,330,4
27.0,1838,8049,1838,436,6
28.0,2323,7527,2323,536,8
29.0,2815,6991,2815,659,13
30.0,3365,6370,3365,774,15
31.0,3923,5742,3923,894,19
32.0,4522,5009,4522,1018,29
33.0,5045,4347,5045,1140,39
34.0,5516,3700,5516,1287,52
35.0,5851,3134,5851,1405,74
36.0,6103,2600,6103,1479,106
37.0,6179,2161,6179,1523,151
38.0,6062,1805,6062,1543,204
39.0,5926,1478,5926,1552,259
40.0,5575,1250,5575,1533,334
41.0,5158,1055,5158,1463,442
42.0,4613,899,4613,1391,544
43.0,4075,779,4075,1280,672
44.0,3552,698,3552,1190,789
45.0,3065,635,3065,1077,913
46.0,2560,578,2560,959,1047
47.0,2104,552,2104,832,1179
48.0,1693,520,1693,678,1339
49.0,1307,503,1307,542,1479
50.0,1050,482,1050,438,1585
51.0,824,462,824,353,1674
52.0,634,453,634,283,1747
53.0,476,444,476,221,1811
54.0,373,437,373,168,1867
55.0,286,434,286,130,1905
56.0,219,430,219,100,1935
57.0,185,426,185,85,1952
58.0,135,423,135,58,1979
59.0,112,422,112,47,1990
60.0,78,421,78,31,2006
61.0,57,421,57,26,2011
62.0,46,420,46,20,2017
63.0,36,419,36,16,2021
64.0,30,419,30,14,2023
65.0,24,418,24,10,2027
66.0,17,418,17,7,2030
67.0,14,417,14,5,2032
68.0,8,417,8,2,2035
69.0,8,416,8,3,2035
70.0,7,416,7,3,2035
71.0,5,416,5,1,2037
72.0,4,416,4,1,2037
73.0,3,416,3,1,2037
74.0,3,416,3,1,2037
75.0,2,416,2,1,2037
76.0,2,416,2,1,2037
77.0,1,416,1,1,2037
78.0,1,416,1,1,2037
79.0,1,416,1,1,2037
80.0,1,416,1,1,2037
81.0,1,416,1,1,2037
82.0,1,416,1,1,2037
83.0,0,416,0,0,2038
84.0,0,416,0,0,2038
85.0,0,416,0,0,2038
86.0,0,416,0,0,2038
87.0,0,416,0,0,2038
88.0,0,416,0,0,2038
89.0,0,416,0,0,2038
90.0,0,416,0,0,2038
91.0,0,416,0,0,2038
92.0,0,416,0,0,2038
93.0,0,416,0,0,2038
94.0,0,416,0,0,2038
95.0,0,416,0,0,2038
96.0,0,416,0,0,2038
97.0,0,416,0,0,2038
98.0,0,416,0,0,2038
99.0,0,416,0,0,2038
100.0,0,416,0,0,2038
