time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,1,0
2,1,9999,1,1,0
3,1,9999,1,1,0
4.0,4,9996,4,2,0
5.0,4,9996,4,2,0
6.0,4,9996,4,2,0
7.0,7,9993,7,2,0
8.0,8,9992,8,2,0
9.0,10,9990,10,2,0
10.0,14,9986,14,3,0
11.0,18,9982,18,4,0
12.0,23,9977,23,6,0
13.0,27,9973,27,7,0
14.0,27,9970,27,7,1
15.0,35,9962,35,9,1
16.0,45,9952,45,10,1
17.0,52,9942,52,12,1
18.0,56,9936,56,12,2
19.0,65,9925,65,15,2
20.0,77,9910,77,18,2
21.0,91,9893,91,21,2
22.0,113,9868,113,28,2
23.0,129,9849,129,31,2
24.0,150,9825,150,34,3
25.0,172,9796,172,40,4
26.0,214,9743,214,47,6
27.0,237,9711,237,54,7
28.0,278,9664,278,66,8
29.0,338,9594,338,80,10
30.0,382,9537,382,92,11
31.0,452,9451,452,110,13
32.0,511,9373,511,123,14
33.0,596,9269,596,146,17
34.0,705,9137,705,165,20
35.0,818,8999,818,197,23
36.0,922,8844,922,224,30
37.0,1081,8658,1081,266,33
38.0,1242,8459,1242,299,37
39.0,1417,8223,1417,344,44
40.0,1608,7979,1608,385,53
41.0,1786,7727,1786,436,61
42.0,1996,7440,1996,490,74
43.0,2226,7116,2226,534,90
44.0,2414,6805,2414,599,103
45.0,2636,6460,2636,660,123
46.0,2863,6098,2863,713,137
47.0,3026,5768,3026,757,163
48.0,3185,5425,3185,800,185
49.0,3289,5102,3289,835,220
50.0,3404,4759,3404,864,254
51.0,3479,4446,3479,902,299
52.0,3488,4180,3488,915,336
53.0,3440,3912,3440,923,388
54.0,3466,3603,3466,950,438
55.0,3369,3377,3369,935,497
56.0,3202,3182,3202,908,564
57.0,3089,2975,3089,888,624
58.0,2903,2805,2903,851,702
59.0,2711,2663,2711,802,783
60.0,2508,2519,2508,756,850
61.0,2330,2397,2330,713,920
62.0,2156,2290,2156,670,985
63.0,1964,2204,1964,616,1055
64.0,1735,2138,1735,571,1118
65.0,1530,2078,1530,508,1201
66.0,1392,2011,1392,473,1251
67.0,1219,1957,1219,422,1311
68.0,1039,1931,1039,352,1388
69.0,915,1901,915,316,1432
70.0,784,1869,784,286,1472
71.0,677,1841,677,253,1512
72.0,570,1822,570,217,1553
73.0,489,1801,489,189,1585
74.0,436,1785,436,170,1606
75.0,385,1769,385,148,1633
76.0,326,1754,326,128,1655
77.0,275,1744,275,113,1671
78.0,246,1736,246,97,1689
79.0,210,1730,210,77,1709
80.0,178,1725,178,63,1724
81.0,151,1722,151,55,1733
82.0,137,1715,137,50,1740
83.0,116,1711,116,43,1748
84.0,95,1708,95,35,1758
85.0,79,1706,79,28,1765
86.0,62,1705,62,24,1770
87.0,52,1702,52,21,1774
88.0,45,1701,45,20,1776
89.0,37,1698,37,15,1781
90.0,31,1698,31,13,1783
91.0,31,1695,31,12,1784
92.0,25,1694,25,10,1786
93.0,26,1690,26,11,1786
94.0,25,1689,25,10,1787
95.0,22,1689,22,9,1788
96.0,21,1688,21,7,1790
97.0,20,1686,20,6,1791
98.0,18,1686,18,4,1793
99.0,16,1685,16,4,1793
100.0,17,1683,17,4,1794
