time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2,1,9999,1,0,0
3,1,9999,1,0,0
4,1,9999,1,0,0
5.0,4,9996,4,0,0
6.0,5,9995,5,0,0
7.0,5,9995,5,0,0
8.0,5,9995,5,0,0
9.0,7,9993,7,0,0
10.0,6,9993,6,0,0
11.0,7,9992,7,0,0
12.0,12,9987,12,3,0
13.0,16,9983,16,3,0
14.0,19,9980,19,4,0
15.0,18,9978,18,4,0
16.0,21,9974,21,5,0
17.0,25,9970,25,7,0
18.0,34,9961,34,8,0
19.0,41,9952,41,9,0
20.0,50,9943,50,10,0
21.0,56,9936,56,13,0
22.0,75,9915,75,16,0
23.0,91,9895,91,20,0
24.0,104,9880,104,23,0
25.0,126,9856,126,30,0
26.0,151,9825,151,36,3
27.0,185,9789,185,47,3
28.0,219,9746,219,54,4
29.0,259,9698,259,69,4
30.0,305,9643,305,81,5
31.0,362,9580,362,93,7
32.0,421,9502,421,107,8
33.0,516,9390,516,130,9
34.0,614,9279,614,157,10
35.0,705,9168,705,178,13
36.0,822,9026,822,203,16
37.0,942,8877,942,232,20
38.0,1085,8696,1085,268,23
39.0,1250,8491,1250,293,30
40.0,1441,8249,1441,344,39
41.0,1603,8027,1603,374,50
42.0,1774,7785,1774,419,58
43.0,1962,7494,1962,466,73
44.0,2138,7222,2138,509,86
45.0,2368,6891,2368,575,100
46.0,2588,6542,2588,622,115
47.0,2808,6182,2808,681,139
48.0,2964,5856,2964,725,167
49.0,3100,5523,3100,767,191
50.0,3212,5201,3212,813,219
51.0,3306,4893,3306,851,252
52.0,3410,4561,3410,884,291
53.0,3464,4246,3464,937,323
54.0,3453,3981,3453,941,383
55.0,3386,3756,3386,944,424
56.0,3296,3506,3296,949,477
57.0,3191,3272,3191,947,539
58.0,3099,3054,3099,942,595
59.0,2941,2865,2941,896,675
60.0,2796,2700,2796,880,737
61.0,2622,2554,2622,828,820
62.0,2425,2419,2425,784,892
63.0,2233,2315,2233,737,958
64.0,2042,2231,2042,680,1032
65.0,1890,2131,1890,630,1103
66.0,1696,2061,1696,577,1175
67.0,1511,1987,1511,508,1260
68.0,1335,1932,1335,458,1324
69.0,1180,1888,1180,423,1368
70.0,1053,1838,1053,378,1426
71.0,914,1802,914,328,1486
72.0,783,1775,783,284,1537
73.0,688,1751,688,257,1571
74.0,594,1732,594,218,1617
75.0,505,1711,505,191,1648
76.0,435,1702,435,168,1676
77.0,374,1686,374,149,1695
78.0,329,1673,329,137,1712
79.0,284,1662,284,118,1733
80.0,234,1656,234,102,1752
81.0,202,1646,202,88,1768
82.0,173,1641,173,77,1782
83.0,150,1638,150,68,1791
84.0,127,1636,127,56,1804
85.0,107,1629,107,49,1814
86.0,99,1626,99,43,1821
87.0,78,1624,78,36,1828
88.0,63,1624,63,29,1835
89.0,51,1623,51,26,1839
90.0,44,1622,44,22,1844
91.0,39,1619,39,23,1844
92.0,33,1618,33,19,1849
93.0,29,1617,29,17,1851
94.0,25,1617,25,14,1854
95.0,21,1615,21,13,1856
96.0,16,1615,16,10,1859
97.0,14,1615,14,10,1859
98.0,13,1615,13,9,1860
99.0,10,1615,10,6,1863
100.0,11,1613,11,5,1864
