time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2,1,9999,1,0,0
3,1,9999,1,0,0
4,1,9999,1,0,0
5,1,9999,1,0,0
6,1,9999,1,0,0
7,1,9999,1,0,0
8.0,6,9994,6,1,0
9.0,13,9987,13,3,0
10.0,19,9980,19,4,0
11.0,27,9972,27,5,0
12.0,38,9961,38,9,0
13.0,58,9941,58,13,0
14.0,92,9907,92,22,0
15.0,158,9841,158,40,0
16.0,286,9713,286,70,0
17.0,475,9524,475,119,0
18.0,777,9218,777,189,0
19.0,1180,8810,1180,274,0
20.0,1688,8296,1688,374,0
21.0,2313,7664,2313,518,0
22.0,2987,6982,2987,688,1
23.0,3686,6265,3686,864,3
24.0,4458,5467,4458,1025,4
25.0,5143,4733,5143,1210,5
26.0,5719,4055,5719,1357,9
27.0,6157,3473,6157,1470,13
28.0,6366,3019,6366,1553,22
29.0,6429,2615,6429,1621,40
30.0,6339,2261,6339,1657,70
31.0,6094,1969,6094,1665,119
32.0,5751,1731,5751,1640,189
33.0,5316,1542,5316,1611,274
34.0,4736,1386,4736,1548,374
35.0,4167,1263,4167,1435,518
36.0,3570,1162,3570,1290,689
37.0,2998,1091,2998,1125,867
38.0,2539,1026,2539,977,1029
39.0,2073,988,2073,799,1215
40.0,1668,954,1668,656,1366
41.0,1334,936,1334,545,1483
42.0,1072,913,1072,457,1575
43.0,871,895,871,380,1661
44.0,697,884,697,316,1727
45.0,555,877,555,261,1784
46.0,445,867,445,220,1829
47.0,335,863,335,165,1885
48.0,251,859,251,130,1922
49.0,194,855,194,100,1953
50.0,143,854,143,75,1979
51.0,122,850,122,62,1992
52.0,90,849,90,49,2006
53.0,75,847,75,41,2014
54.0,60,845,60,33,2022
55.0,49,845,49,27,2028
56.0,40,844,40,23,2032
57.0,29,843,29,14,2041
58.0,25,843,25,12,2043
59.0,21,842,21,10,2045
60.0,17,842,17,6,2049
61.0,14,840,14,7,2050
62.0,12,840,12,5,2052
63.0,9,840,9,4,2053
64.0,6,840,6,3,2054
65.0,6,840,6,3,2054
66.0,4,840,4,2,2055
67.0,3,840,3,2,2055
68.0,3,840,3,2,2055
69.0,2,840,2,2,2055
70.0,2,840,2,2,2055
71.0,2,840,2,2,2055
72.0,2,840,2,2,2055
73.0,2,840,2,2,2055
74.0,2,840,2,2,2055
75.0,0,840,0,0,2057
76.0,0,840,0,0,2057
77.0,0,840,0,0,2057
78.0,0,840,0,0,2057
79.0,0,840,0,0,2057
80.0,0,840,0,0,2057
81.0,0,840,0,0,2057
82.0,0,840,0,0,2057
83.0,0,840,0,0,2057
84.0,0,840,0,0,2057
85.0,0,840,0,0,2057
86.0,0,840,0,0,2057
87.0,0,840,0,0,2057
88.0,0,840,0,0,2057
89.0,0,840,0,0,2057
90.0,0,840,0,0,2057
91.0,0,840,0,0,2057
92.0,0,840,0,0,2057
93.0,0,840,0,0,2057
94.0,0,840,0,0,2057
95.0,0,840,0,0,2057
96.0,0,840,0,0,2057
97.0,0,840,0,0,2057
98.0,0,840,0,0,2057
99.0,0,840,0,0,2057
100.0,0,840,0,0,2057
