time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,9998,2,1,0
2.0,2,9998,2,1,0
3.0,2,9998,2,1,0
4.0,3,9997,3,1,0
5.0,3,9997,3,1,0
6.0,3,9997,3,1,0
7.0,31,9969,31,4,0
8.0,74,9926,74,16,0
9.0,122,9878,122,25,0
10.0,194,9805,194,44,0
11.0,323,9676,323,73,0
12.0,496,9503,496,106,0
13.0,712,9287,712,147,0
14.0,1012,8986,1012,206,0
15.0,1357,8640,1357,286,1
16.0,1724,8273,1724,379,1
17.0,2108,7864,2108,469,1
18.0,2501,7440,2501,558,1
19.0,2974,6928,2974,680,1
20.0,3521,6327,3521,790,1
21.0,4012,5733,4012,907,4
22.0,4493,5100,4493,1029,16
23.0,4907,4502,4907,1167,25
24.0,5164,3984,5164,1264,44
25.0,5393,3461,5393,1367,73
26.0,5524,3023,5524,1426,106
27.0,5592,2595,5592,1491,147
28.0,5535,2258,5535,1513,206
29.0,5344,1978,5344,1506,287
30.0,5059,1679,5059,1480,380
31.0,4755,1419,4755,1453,470
32.0,4377,1209,4377,1423,559
33.0,4000,1013,4000,1340,681
34.0,3641,860,3641,1264,791
35.0,3282,708,3282,1180,911
36.0,2912,598,2912,1066,1045
37.0,2534,507,2534,943,1192
38.0,2229,440,2229,838,1308
39.0,1951,380,1951,724,1440
40.0,1675,332,1675,642,1532
41.0,1426,278,1426,549,1638
42.0,1219,253,1219,473,1719
43.0,1015,226,1015,402,1793
44.0,846,209,846,339,1860
45.0,678,198,678,281,1923
46.0,537,190,537,223,1982
47.0,443,178,443,187,2021
48.0,354,177,354,153,2055
49.0,277,176,277,117,2091
50.0,221,174,221,97,2111
51.0,157,173,157,74,2135
52.0,126,173,126,63,2146
53.0,84,173,84,45,2164
54.0,62,172,62,36,2174
55.0,43,172,43,23,2187
56.0,31,172,31,18,2192
57.0,19,172,19,15,2195
58.0,14,172,14,11,2199
59.0,8,172,8,6,2204
60.0,5,172,5,5,2205
61.0,2,172,2,2,2208
62.0,2,172,2,2,2208
63.0,2,172,2,2,2208
64.0,2,172,2,2,2208
65.0,1,172,1,1,2209
66.0,1,172,1,1,2209
67.0,1,172,1,1,2209
68.0,0,172,0,0,2210
69.0,0,172,0,0,2210
70.0,0,172,0,0,2210
71.0,0,172,0,0,2210
72.0,0,172,0,0,2210
73.0,0,172,0,0,2210
74.0,0,172,0,0,2210
75.0,0,172,0,0,2210
76.0,0,172,0,0,2210
77.0,0,172,0,0,2210
78.0,0,172,0,0,2210
79.0,0,172,0,0,2210
80.0,0,172,0,0,2210
81.0,0,172,0,0,2210
82.0,0,172,0,0,2210
83.0,0,172,0,0,2210
84.0,0,172,0,0,2210
85.0,0,172,0,0,2210
86.0,0,172,0,0,2210
87.0,0,172,0,0,2210
88.0,0,172,0,0,2210
89.0,0,172,0,0,2210
90.0,0,172,0,0,2210
91.0,0,172,0,0,2210
92.0,0,172,0,0,2210
93.0,0,172,0,0,2210
94.0,0,172,0,0,2210
95.0,0,172,0,0,2210
96.0,0,172,0,0,2210
97.0,0,172,0,0,2210
98.0,0,172,0,0,2210
99.0,0,172,0,0,2210
100.0,0,172,0,0,2210
