time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,1,0
2,1,999,1,1,0
3.0,5,995,5,4,0
4.0,15,985,15,7,0
5.0,32,968,32,10,0
6.0,46,954,46,12,0
7.0,60,940,60,15,0
8.0,82,918,82,20,0
9.0,106,894,106,24,0
10.0,154,846,154,30,0
11.0,214,786,214,41,0
12.0,252,748,252,50,0
13.0,287,712,287,58,0
14.0,322,669,322,71,1
15.0,337,640,337,80,1
16.0,369,596,369,87,1
17.0,399,552,399,97,4
18.0,416,515,416,102,7
19.0,438,470,438,108,10
20.0,428,436,428,114,12
21.0,396,416,396,116,15
22.0,382,396,382,115,20
23.0,376,370,376,117,24
24.0,358,353,358,114,30
25.0,343,337,343,108,41
26.0,311,323,311,103,50
27.0,294,301,294,99,58
28.0,262,290,262,89,72
29.0,228,279,228,83,81
30.0,202,272,202,77,88
31.0,180,266,180,66,101
32.0,160,262,160,59,109
33.0,135,258,135,50,118
34.0,118,253,118,43,126
35.0,104,251,104,38,131
36.0,94,247,94,35,135
37.0,74,243,74,29,141
38.0,65,242,65,26,144
39.0,56,238,56,22,149
40.0,47,237,47,19,153
41.0,40,236,40,15,157
42.0,33,236,33,11,161
43.0,27,235,27,8,164
44.0,23,234,23,7,165
45.0,19,234,19,5,167
46.0,15,234,15,4,168
47.0,13,232,13,5,168
48.0,11,232,11,4,169
49.0,8,232,8,4,169
50.0,7,232,7,3,170
51.0,6,232,6,3,170
52.0,6,232,6,3,170
53.0,4,232,4,2,171
54.0,2,232,2,1,172
55.0,2,232,2,1,172
56.0,2,232,2,1,172
57.0,1,232,1,1,172
58.0,1,232,1,1,172
59.0,1,232,1,1,172
60.0,1,232,1,1,172
61.0,0,232,0,0,173
62.0,0,232,0,0,173
63.0,0,232,0,0,173
64.0,0,232,0,0,173
65.0,0,232,0,0,173
66.0,0,232,0,0,173
67.0,0,232,0,0,173
68.0,0,232,0,0,173
69.0,0,232,0,0,173
70.0,0,232,0,0,173
71.0,0,232,0,0,173
72.0,0,232,0,0,173
73.0,0,232,0,0,173
74.0,0,232,0,0,173
75.0,0,232,0,0,173
76.0,0,232,0,0,173
77.0,0,232,0,0,173
78.0,0,232,0,0,173
79.0,0,232,0,0,173
80.0,0,232,0,0,173
81.0,0,232,0,0,173
82.0,0,232,0,0,173
83.0,0,232,0,0,173
84.0,0,232,0,0,173
85.0,0,232,0,0,173
86.0,0,232,0,0,173
87.0,0,232,0,0,173
88.0,0,232,0,0,173
89.0,0,232,0,0,173
90.0,0,232,0,0,173
91.0,0,232,0,0,173
92.0,0,232,0,0,173
93.0,0,232,0,0,173
94.0,0,232,0,0,173
95.0,0,232,0,0,173
96.0,0,232,0,0,173
97.0,0,232,0,0,173
98.0,0,232,0,0,173
99.0,0,232,0,0,173
100.0,0,232,0,0,173
