time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,4999,1,0,0
2.0,32,4968,32,7,0
3.0,145,4855,145,31,0
4.0,421,4579,421,82,0
5.0,906,4094,906,168,0
6.0,1600,3400,1600,338,0
7.0,2328,2672,2328,511,0
8.0,2999,2001,2999,647,0
9.0,3591,1409,3591,782,0
10.0,4033,966,4033,875,0
11.0,4344,655,4344,948,0
12.0,4543,432,4543,1005,0
13.0,4600,286,4600,1040,0
14.0,4460,201,4460,1060,0
15.0,4136,126,4136,1079,0
16.0,3642,89,3642,1081,7
17.0,3084,68,3084,1063,31
18.0,2505,61,2505,1013,82
19.0,1971,52,1971,929,168
20.0,1456,47,1456,760,338
21.0,1052,40,1052,588,511
22.0,751,39,751,452,647
23.0,505,39,505,317,782
24.0,347,39,347,224,875
25.0,220,37,220,151,948
26.0,135,37,135,94,1005
27.0,85,37,85,59,1040
28.0,59,37,59,39,1060
29.0,33,37,33,20,1079
30.0,20,37,20,11,1088
31.0,8,37,8,5,1094
32.0,6,37,6,4,1095
33.0,4,37,4,2,1097
34.0,3,37,3,1,1098
35.0,0,37,0,0,1099
36.0,0,37,0,0,1099
37.0,0,37,0,0,1099
38.0,0,37,0,0,1099
39.0,0,37,0,0,1099
40.0,0,37,0,0,1099
41.0,0,37,0,0,1099
42.0,0,37,0,0,1099
43.0,0,37,0,0,1099
44.0,0,37,0,0,1099
45.0,0,37,0,0,1099
46.0,0,37,0,0,1099
47.0,0,37,0,0,1099
48.0,0,37,0,0,1099
49.0,0,37,0,0,1099
50.0,0,37,0,0,1099
51.0,0,37,0,0,1099
52.0,0,37,0,0,1099
53.0,0,37,0,0,1099
54.0,0,37,0,0,1099
55.0,0,37,0,0,1099
56.0,0,37,0,0,1099
57.0,0,37,0,0,1099
58.0,0,37,0,0,1099
59.0,0,37,0,0,1099
60.0,0,37,0,0,1099
61.0,0,37,0,0,1099
62.0,0,37,0,0,1099
63.0,0,37,0,0,1099
64.0,0,37,0,0,1099
65.0,0,37,0,0,1099
66.0,0,37,0,0,1099
67.0,0,37,0,0,1099
68.0,0,37,0,0,1099
69.0,0,37,0,0,1099
70.0,0,37,0,0,1099
71.0,0,37,0,0,1099
72.0,0,37,0,0,1099
73.0,0,37,0,0,1099
74.0,0,37,0,0,1099
75.0,0,37,0,0,1099
76.0,0,37,0,0,1099
77.0,0,37,0,0,1099
78.0,0,37,0,0,1099
79.0,0,37,0,0,1099
80.0,0,37,0,0,1099
81.0,0,37,0,0,1099
82.0,0,37,0,0,1099
83.0,0,37,0,0,1099
84.0,0,37,0,0,1099
85.0,0,37,0,0,1099
86.0,0,37,0,0,1099
87.0,0,37,0,0,1099
88.0,0,37,0,0,1099
89.0,0,37,0,0,1099
90.0,0,37,0,0,1099
91.0,0,37,0,0,1099
92.0,0,37,0,0,1099
93.0,0,37,0,0,1099
94.0,0,37,0,0,1099
95.0,0,37,0,0,1099
96.0,0,37,0,0,1099
97.0,0,37,0,0,1099
98.0,0,37,0,0,1099
99.0,0,37,0,0,1099
100.0,0,37,0,0,1099
