time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,9998,2,1,0
2.0,3,9997,3,1,0
3.0,4,9996,4,1,0
4.0,5,9995,5,2,0
5.0,7,9993,7,3,0
6.0,9,9991,9,4,0
7.0,11,9989,11,6,0
8.0,13,9987,13,7,0
9.0,15,9985,15,8,0
10.0,17,9982,17,10,0
11.0,23,9976,23,12,0
12.0,26,9972,26,14,0
13.0,33,9964,33,15,0
14.0,42,9955,42,17,0
15.0,54,9941,54,20,1
16.0,65,9929,65,25,1
17.0,79,9915,79,29,1
18.0,99,9893,99,32,2
19.0,124,9866,124,36,3
20.0,141,9847,141,39,4
21.0,162,9820,162,40,6
22.0,200,9779,200,43,7
23.0,235,9736,235,49,8
24.0,312,9650,312,70,10
25.0,388,9562,388,87,12
26.0,475,9466,475,110,14
27.0,573,9357,573,126,15
28.0,687,9223,687,151,17
29.0,839,9045,839,186,21
30.0,1017,8847,1017,212,26
31.0,1210,8626,1210,258,30
32.0,1393,8402,1393,299,34
33.0,1661,8093,1661,361,39
34.0,1922,7765,1922,429,43
35.0,2262,7353,2262,518,46
36.0,2583,6957,2583,592,50
37.0,2976,6465,2976,711,57
38.0,3299,6012,3299,783,80
39.0,3596,5557,3596,864,99
40.0,3850,5111,3850,943,124
41.0,4167,4606,4167,1044,141
42.0,4419,4148,4419,1104,168
43.0,4571,3715,4571,1174,207
44.0,4756,3243,4756,1254,238
45.0,4783,2846,4783,1292,288
46.0,4765,2501,4765,1316,333
47.0,4653,2180,4653,1329,400
48.0,4520,1883,4520,1329,472
49.0,4310,1646,4310,1291,564
50.0,4108,1428,4108,1273,642
51.0,3767,1256,3767,1180,768
52.0,3458,1099,3458,1114,863
53.0,3155,978,3155,1040,963
54.0,2777,891,2777,958,1067
55.0,2434,807,2434,859,1185
56.0,2137,741,2137,786,1272
57.0,1857,671,1857,704,1381
58.0,1573,619,1573,607,1492
59.0,1342,579,1342,529,1580
60.0,1145,549,1145,470,1649
61.0,963,512,963,396,1729
62.0,776,499,776,325,1801
63.0,646,480,646,276,1855
64.0,540,461,540,220,1915
65.0,448,455,448,189,1948
66.0,379,443,379,163,1977
67.0,317,436,317,139,2003
68.0,265,428,265,119,2025
69.0,220,424,220,100,2044
70.0,191,419,191,88,2058
71.0,137,415,137,62,2085
72.0,113,413,113,49,2099
73.0,89,413,89,39,2109
74.0,66,411,66,29,2119
75.0,59,408,59,24,2125
76.0,51,406,51,23,2126
77.0,41,406,41,18,2131
78.0,31,406,31,14,2135
79.0,26,405,26,12,2137
80.0,21,404,21,9,2140
81.0,16,404,16,7,2142
82.0,13,404,13,5,2144
83.0,13,404,13,5,2144
84.0,9,404,9,3,2146
85.0,6,404,6,2,2147
86.0,3,404,3,1,2148
87.0,3,404,3,1,2148
88.0,3,404,3,1,2148
89.0,1,404,1,0,2149
90.0,0,404,0,0,2149
91.0,0,404,0,0,2149
92.0,0,404,0,0,2149
93.0,0,404,0,0,2149
94.0,0,404,0,0,2149
95.0,0,404,0,0,2149
96.0,0,404,0,0,2149
97.0,0,404,0,0,2149
98.0,0,404,0,0,2149
99.0,0,404,0,0,2149
100.0,0,404,0,0,2149
