time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,3,9997,3,0,0
2.0,3,9997,3,0,0
3.0,4,9996,4,1,0
4.0,4,9996,4,1,0
5.0,4,9996,4,1,0
6.0,4,9996,4,1,0
7.0,4,9996,4,1,0
8.0,4,9996,4,1,0
9.0,4,9996,4,1,0
10.0,3,9996,3,1,0
11.0,1,9996,1,1,0
12.0,1,9996,1,1,0
13.0,2,9995,2,1,0
14.0,2,9995,2,1,0
15.0,3,9994,3,1,0
16.0,3,9994,3,1,0
17.0,2,9994,2,0,1
18.0,2,9994,2,0,1
19.0,3,9993,3,0,1
20.0,3,9993,3,0,1
21.0,4,9992,4,0,1
22.0,5,9991,5,1,1
23.0,4,9991,4,1,1
24.0,6,9989,6,1,1
25.0,5,9989,5,1,1
26.0,6,9988,6,1,1
27.0,7,9987,7,1,1
28.0,11,9983,11,3,1
29.0,11,9982,11,3,1
30.0,16,9977,16,4,1
31.0,18,9974,18,5,1
32.0,24,9968,24,6,1
33.0,27,9965,27,6,1
34.0,30,9960,30,9,1
35.0,36,9954,36,9,1
36.0,45,9943,45,10,2
37.0,47,9940,47,12,2
38.0,49,9936,49,13,2
39.0,62,9922,62,18,2
40.0,73,9907,73,23,2
41.0,80,9898,80,24,2
42.0,92,9879,92,29,4
43.0,106,9862,106,32,4
44.0,119,9846,119,35,5
45.0,132,9826,132,40,6
46.0,147,9801,147,43,7
47.0,175,9772,175,47,7
48.0,201,9740,201,50,10
49.0,233,9699,233,59,10
50.0,278,9642,278,70,12
51.0,304,9606,304,79,14
52.0,340,9557,340,90,15
53.0,380,9498,380,98,20
54.0,429,9432,429,105,25
55.0,502,9344,502,128,26
56.0,572,9246,572,143,33
57.0,635,9155,635,160,36
58.0,720,9040,720,176,40
59.0,807,8915,807,192,46
60.0,902,8772,902,223,50
61.0,1012,8633,1012,253,54
62.0,1133,8469,1133,272,60
63.0,1258,8289,1258,290,69
64.0,1383,8097,1383,331,82
65.0,1524,7881,1524,371,93
66.0,1690,7627,1690,423,105
67.0,1880,7353,1880,471,118
68.0,2043,7083,2043,521,130
69.0,2154,6845,2154,542,154
70.0,2293,6576,2293,576,176
71.0,2439,6305,2439,618,196
72.0,2571,6014,2571,675,216
73.0,2679,5731,2679,725,238
74.0,2809,5428,2809,758,273
75.0,2876,5162,2876,770,307
76.0,2943,4880,2943,807,332
77.0,2994,4589,2994,844,359
78.0,3004,4317,3004,856,413
79.0,3022,4055,3022,871,464
80.0,2977,3823,2977,861,528
81.0,2928,3602,2928,854,589
82.0,2857,3397,2857,838,651
83.0,2775,3223,2775,844,696
84.0,2652,3055,2652,834,752
85.0,2516,2909,2516,805,814
86.0,2353,2775,2353,756,891
87.0,2210,2619,2210,714,963
88.0,2054,2501,2054,684,1031
89.0,1909,2404,1909,663,1077
90.0,1746,2327,1746,615,1139
91.0,1605,2237,1605,571,1203
92.0,1436,2181,1436,518,1269
93.0,1312,2116,1312,465,1335
94.0,1191,2061,1191,422,1389
95.0,1062,2023,1062,376,1443
96.0,952,1981,952,339,1489
97.0,802,1954,802,298,1540
98.0,701,1929,701,255,1586
99.0,623,1902,623,229,1619
100.0,558,1876,558,206,1647
