time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,1,0
2,1,9999,1,1,0
3,1,9999,1,1,0
4,1,9999,1,1,0
5,1,9999,1,1,0
6,1,9999,1,1,0
7.0,3,9997,3,2,0
8.0,3,9997,3,2,0
9.0,4,9996,4,2,0
10.0,4,9996,4,2,0
11.0,4,9996,4,2,0
12.0,4,9996,4,2,0
13.0,7,9993,7,2,0
14.0,7,9992,7,1,1
15.0,10,9989,10,1,1
16.0,13,9986,13,2,1
17.0,14,9984,14,2,1
18.0,19,9979,19,3,1
19.0,19,9978,19,3,1
20.0,24,9973,24,4,1
21.0,26,9970,26,4,2
22.0,30,9966,30,4,2
23.0,31,9962,31,5,2
24.0,36,9956,36,7,2
25.0,37,9952,37,9,2
26.0,38,9949,38,10,2
27.0,40,9945,40,11,2
28.0,39,9942,39,12,2
29.0,43,9937,43,13,2
30.0,46,9929,46,15,3
31.0,51,9922,51,17,3
32.0,58,9910,58,17,4
33.0,69,9896,69,21,4
34.0,70,9890,70,20,5
35.0,78,9879,78,23,6
36.0,98,9857,98,25,6
37.0,122,9829,122,31,7
38.0,131,9816,131,31,9
39.0,144,9797,144,34,11
40.0,164,9771,164,39,12
41.0,179,9750,179,43,13
42.0,189,9728,189,50,14
43.0,217,9689,217,56,15
44.0,238,9659,238,63,18
45.0,280,9608,280,69,20
46.0,309,9558,309,80,21
47.0,336,9506,336,87,25
48.0,381,9450,381,105,25
49.0,425,9388,425,115,29
50.0,489,9302,489,136,31
51.0,549,9219,549,147,38
52.0,618,9134,618,165,40
53.0,693,9022,693,185,45
54.0,757,8932,757,206,51
55.0,829,8812,829,223,56
56.0,926,8669,926,245,64
57.0,1027,8520,1027,271,71
58.0,1159,8340,1159,311,81
59.0,1260,8183,1260,338,89
60.0,1363,8005,1363,362,101
61.0,1508,7784,1508,386,112
62.0,1606,7603,1606,397,130
63.0,1748,7360,1748,439,144
64.0,1919,7103,1919,479,167
65.0,2033,6873,2033,511,185
66.0,2155,6618,2155,558,205
67.0,2278,6354,2278,591,230
68.0,2374,6101,2374,622,257
69.0,2496,5835,2496,679,279
70.0,2604,5555,2604,699,309
71.0,2655,5285,2655,725,342
72.0,2713,5025,2713,737,392
73.0,2734,4782,2734,750,427
74.0,2731,4555,2731,766,463
75.0,2753,4318,2753,784,498
76.0,2763,4091,2763,812,527
77.0,2697,3895,2697,808,583
78.0,2637,3697,2637,797,646
79.0,2579,3518,2579,785,696
80.0,2478,3322,2478,763,763
81.0,2373,3158,2373,743,821
82.0,2277,2998,2277,718,879
83.0,2145,2856,2145,671,958
84.0,2030,2746,2030,639,1008
85.0,1885,2648,1885,601,1067
86.0,1745,2556,1745,564,1129
87.0,1649,2460,1649,535,1177
88.0,1532,2379,1532,499,1229
89.0,1406,2311,1406,458,1282
90.0,1264,2245,1264,416,1339
91.0,1131,2200,1131,370,1391
92.0,996,2156,996,326,1443
93.0,896,2108,896,296,1481
94.0,789,2078,789,260,1526
95.0,701,2051,701,226,1564
96.0,620,2032,620,194,1597
97.0,543,2000,543,169,1629
98.0,483,1977,483,157,1647
99.0,428,1955,428,140,1668
100.0,365,1942,365,118,1693
