time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,9998,2,0,0
2.0,2,9998,2,0,0
3.0,2,9998,2,0,0
4.0,2,9998,2,0,0
5.0,2,9998,2,0,0
6.0,2,9998,2,0,0
7.0,2,9998,2,0,0
8.0,3,9997,3,0,0
9.0,5,9995,5,0,0
10.0,5,9994,5,0,0
11.0,4,9994,4,0,0
12.0,5,9993,5,0,0
13.0,6,9992,6,0,0
14.0,7,9991,7,0,0
15.0,7,9991,7,0,0
16.0,9,9989,9,0,0
17.0,12,9986,12,0,0
18.0,14,9983,14,1,0
19.0,14,9981,14,1,0
20.0,17,9977,17,3,0
21.0,21,9973,21,4,0
22.0,26,9967,26,5,0
23.0,29,9963,29,5,0
24.0,30,9961,30,5,0
25.0,39,9952,39,8,0
26.0,40,9949,40,10,0
27.0,45,9941,45,16,0
28.0,56,9928,56,19,0
29.0,65,9917,65,21,0
30.0,82,9898,82,24,0
31.0,94,9883,94,26,0
32.0,101,9870,101,26,1
33.0,114,9853,114,31,1
34.0,140,9823,140,39,3
35.0,161,9795,161,45,4
36.0,216,9738,216,61,5
37.0,253,9699,253,69,5
38.0,297,9645,297,83,5
39.0,357,9573,357,92,8
40.0,405,9507,405,109,10
41.0,459,9434,459,113,16
42.0,528,9350,528,131,19
43.0,607,9257,607,144,21
44.0,688,9153,688,165,24
45.0,766,9052,766,184,26
46.0,854,8923,854,212,27
47.0,1010,8731,1010,248,32
48.0,1120,8571,1120,279,42
49.0,1243,8381,1243,324,49
50.0,1369,8191,1369,343,66
51.0,1537,7952,1537,389,74
52.0,1691,7721,1691,417,88
53.0,1844,7478,1844,455,100
54.0,2005,7218,2005,497,119
55.0,2187,6946,2187,537,129
56.0,2370,6642,2370,597,150
57.0,2492,6354,2492,638,165
58.0,2646,6057,2646,681,189
59.0,2793,5751,2793,725,210
60.0,2926,5435,2926,766,239
61.0,3005,5130,3005,793,280
62.0,3071,4834,3071,807,321
63.0,3099,4561,3099,814,373
64.0,3133,4292,3133,838,409
65.0,3124,4025,3124,834,463
66.0,3093,3791,3093,838,505
67.0,3011,3591,3011,836,555
68.0,2914,3397,2914,816,616
69.0,2822,3198,2822,817,666
70.0,2650,3043,2650,776,747
71.0,2488,2912,2488,754,803
72.0,2302,2790,2302,713,870
73.0,2137,2676,2137,673,935
74.0,1956,2578,1956,620,1005
75.0,1774,2475,1774,577,1073
76.0,1595,2411,1595,537,1128
77.0,1460,2335,1460,496,1187
78.0,1296,2286,1296,448,1247
79.0,1133,2251,1133,406,1297
80.0,1007,2216,1007,363,1343
81.0,901,2177,901,322,1391
82.0,795,2146,795,288,1432
83.0,676,2125,676,242,1483
84.0,573,2107,573,210,1523
85.0,481,2087,481,181,1557
86.0,423,2070,423,160,1583
87.0,363,2047,363,144,1608
88.0,320,2036,320,129,1625
89.0,280,2024,280,106,1650
90.0,245,2012,245,92,1665
91.0,202,2005,202,74,1683
92.0,173,1998,173,62,1695
93.0,155,1992,155,57,1703
94.0,144,1990,144,54,1706
95.0,129,1983,129,51,1713
96.0,114,1979,114,45,1720
97.0,96,1978,96,40,1725
98.0,82,1975,82,32,1733
99.0,72,1970,72,28,1738
100.0,57,1969,57,23,1743
