time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,1,0
2,1,9999,1,1,0
3,1,9999,1,1,0
4,1,9999,1,1,0
5,1,9999,1,1,0
6,1,9999,1,1,0
7.0,2,9998,2,1,0
8.0,2,9998,2,1,0
9.0,2,9998,2,1,0
10.0,3,9997,3,2,0
11.0,3,9997,3,2,0
12.0,3,9997,3,2,0
13.0,3,9997,3,2,0
14.0,2,9997,2,1,1
15.0,3,9996,3,1,1
16.0,3,9996,3,1,1
17.0,4,9994,4,1,1
18.0,4,9994,4,1,1
19.0,4,9994,4,1,1
20.0,5,9993,5,1,1
21.0,7,9991,7,2,1
22.0,10,9988,10,2,1
23.0,12,9986,12,3,1
24.0,13,9984,13,2,2
25.0,12,9984,12,2,2
26.0,15,9981,15,2,2
27.0,17,9977,17,3,2
28.0,21,9973,21,5,2
29.0,25,9969,25,8,2
30.0,29,9964,29,10,2
31.0,34,9958,34,11,2
32.0,37,9952,37,12,2
33.0,43,9945,43,12,2
34.0,52,9934,52,14,2
35.0,59,9926,59,15,3
36.0,71,9911,71,20,3
37.0,85,9893,85,22,4
38.0,114,9862,114,28,4
39.0,131,9844,131,34,4
40.0,154,9818,154,38,4
41.0,184,9782,184,46,5
42.0,208,9751,208,47,7
43.0,242,9707,242,58,10
44.0,284,9654,284,76,12
45.0,332,9599,332,90,13
46.0,375,9545,375,100,14
47.0,447,9458,447,116,14
48.0,488,9390,488,130,16
49.0,555,9309,555,145,18
50.0,628,9209,628,167,23
51.0,720,9087,720,189,26
52.0,822,8951,822,211,32
53.0,934,8803,934,230,38
54.0,1062,8638,1062,258,42
55.0,1202,8449,1202,296,51
56.0,1371,8234,1371,339,54
57.0,1491,8029,1491,372,68
58.0,1668,7780,1668,412,88
59.0,1838,7531,1838,451,103
60.0,2056,7229,2056,509,114
61.0,2233,6939,2233,552,130
62.0,2364,6684,2364,583,146
63.0,2554,6354,2554,649,163
64.0,2668,6080,2668,685,190
65.0,2769,5812,2769,712,215
66.0,2893,5491,2893,760,243
67.0,2992,5209,2992,797,268
68.0,3051,4929,3051,826,300
69.0,3098,4640,3098,843,347
70.0,3098,4361,3098,857,393
71.0,3047,4134,3047,855,440
72.0,3024,3889,3024,871,500
73.0,2941,3671,2941,863,554
74.0,2856,3476,2856,833,623
75.0,2765,3292,2765,814,682
76.0,2623,3142,2623,797,729
77.0,2483,2979,2483,753,812
78.0,2338,2842,2338,717,875
79.0,2164,2739,2164,688,927
80.0,1973,2635,1973,631,1003
81.0,1841,2523,1841,594,1065
82.0,1691,2443,1691,551,1126
83.0,1529,2369,1529,503,1190
84.0,1394,2288,1394,461,1250
85.0,1255,2238,1255,431,1295
86.0,1099,2198,1099,360,1371
87.0,967,2160,967,319,1417
88.0,851,2127,851,288,1456
89.0,760,2098,760,256,1496
90.0,678,2065,678,233,1526
91.0,582,2035,582,204,1565
92.0,515,2013,515,182,1592
93.0,456,1991,456,166,1615
94.0,383,1982,383,150,1634
95.0,333,1972,333,129,1659
96.0,287,1965,287,111,1677
97.0,250,1953,250,97,1693
98.0,216,1944,216,83,1711
99.0,189,1935,189,71,1726
100.0,162,1931,162,67,1731
