time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,5,9995,5,3,0
2.0,11,9989,11,3,0
3.0,26,9974,26,4,0
4.0,66,9934,66,13,0
5.0,146,9854,146,25,0
6.0,392,9608,392,86,0
7.0,899,9101,899,204,0
8.0,1943,8057,1943,446,0
9.0,3611,6389,3611,848,0
10.0,5520,4480,5520,1252,0
11.0,7143,2855,7143,1607,0
12.0,8200,1792,8200,1835,0
13.0,8800,1178,8800,1963,0
14.0,9109,837,9109,2044,1
15.0,9277,599,9277,2100,3
16.0,9223,468,9223,2127,3
17.0,8920,381,8920,2142,4
18.0,8160,330,8160,2147,13
19.0,6916,296,6916,2144,25
20.0,5375,271,5375,2091,86
21.0,4002,256,4002,1975,204
22.0,2936,245,2936,1735,446
23.0,2053,240,2053,1334,848
24.0,1397,233,1397,932,1252
25.0,865,230,865,578,1607
26.0,536,227,536,351,1835
27.0,339,225,339,223,1963
28.0,220,225,220,141,2045
29.0,137,225,137,83,2103
30.0,93,225,93,56,2130
31.0,64,225,64,40,2146
32.0,41,225,41,26,2160
33.0,28,225,28,17,2169
34.0,15,225,15,9,2177
35.0,11,225,11,7,2179
36.0,7,225,7,5,2181
37.0,4,225,4,4,2182
38.0,2,225,2,2,2184
39.0,1,225,1,1,2185
40.0,0,225,0,0,2186
41.0,0,225,0,0,2186
42.0,0,225,0,0,2186
43.0,0,225,0,0,2186
44.0,0,225,0,0,2186
45.0,0,225,0,0,2186
46.0,0,225,0,0,2186
47.0,0,225,0,0,2186
48.0,0,225,0,0,2186
49.0,0,225,0,0,2186
50.0,0,225,0,0,2186
51.0,0,225,0,0,2186
52.0,0,225,0,0,2186
53.0,0,225,0,0,2186
54.0,0,225,0,0,2186
55.0,0,225,0,0,2186
56.0,0,225,0,0,2186
57.0,0,225,0,0,2186
58.0,0,225,0,0,2186
59.0,0,225,0,0,2186
60.0,0,225,0,0,2186
61.0,0,225,0,0,2186
62.0,0,225,0,0,2186
63.0,0,225,0,0,2186
64.0,0,225,0,0,2186
65.0,0,225,0,0,2186
66.0,0,225,0,0,2186
67.0,0,225,0,0,2186
68.0,0,225,0,0,2186
69.0,0,225,0,0,2186
70.0,0,225,0,0,2186
71.0,0,225,0,0,2186
72.0,0,225,0,0,2186
73.0,0,225,0,0,2186
74.0,0,225,0,0,2186
75.0,0,225,0,0,2186
76.0,0,225,0,0,2186
77.0,0,225,0,0,2186
78.0,0,225,0,0,2186
79.0,0,225,0,0,2186
80.0,0,225,0,0,2186
81.0,0,225,0,0,2186
82.0,0,225,0,0,2186
83.0,0,225,0,0,2186
84.0,0,225,0,0,2186
85.0,0,225,0,0,2186
86.0,0,225,0,0,2186
87.0,0,225,0,0,2186
88.0,0,225,0,0,2186
89.0,0,225,0,0,2186
90.0,0,225,0,0,2186
91.0,0,225,0,0,2186
92.0,0,225,0,0,2186
93.0,0,225,0,0,2186
94.0,0,225,0,0,2186
95.0,0,225,0,0,2186
96.0,0,225,0,0,2186
97.0,0,225,0,0,2186
98.0,0,225,0,0,2186
99.0,0,225,0,0,2186
100.0,0,225,0,0,2186
