time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,1998,2,0,0
2.0,2,1998,2,0,0
3.0,2,1998,2,0,0
4.0,2,1998,2,0,0
5.0,2,1998,2,0,0
6.0,2,1998,2,0,0
7.0,3,1997,3,0,0
8.0,4,1996,4,1,0
9.0,4,1996,4,1,0
10.0,3,1996,3,1,0
11.0,2,1996,2,1,0
12.0,3,1995,3,2,0
13.0,3,1995,3,2,0
14.0,3,1995,3,2,0
15.0,4,1994,4,3,0
16.0,4,1994,4,3,0
17.0,4,1993,4,3,0
18.0,4,1993,4,3,0
19.0,4,1993,4,3,0
20.0,5,1992,5,3,0
21.0,5,1992,5,3,0
22.0,4,1992,4,2,1
23.0,4,1992,4,2,1
24.0,6,1990,6,2,1
25.0,10,1986,10,2,1
26.0,12,1983,12,1,2
27.0,11,1983,11,1,2
28.0,12,1982,12,1,2
29.0,14,1979,14,0,3
30.0,14,1978,14,0,3
31.0,23,1969,23,2,3
32.0,28,1964,28,3,3
33.0,33,1959,33,4,3
34.0,37,1953,37,5,3
35.0,37,1949,37,5,3
36.0,37,1946,37,5,3
37.0,44,1939,44,6,3
38.0,53,1929,53,9,3
39.0,56,1923,56,10,3
40.0,69,1909,69,14,3
41.0,74,1897,74,15,3
42.0,84,1883,84,18,3
43.0,90,1873,90,21,3
44.0,104,1854,104,27,3
45.0,115,1837,115,29,5
46.0,131,1817,131,33,6
47.0,149,1792,149,40,7
48.0,166,1767,166,44,8
49.0,187,1741,187,54,8
50.0,204,1714,204,61,8
51.0,231,1675,231,70,9
52.0,267,1625,267,78,12
53.0,303,1581,303,89,13
54.0,337,1530,337,90,17
55.0,377,1476,377,102,18
56.0,414,1421,414,110,21
57.0,458,1357,458,123,24
58.0,504,1285,504,132,30
59.0,563,1206,563,142,34
60.0,605,1139,605,155,39
61.0,663,1044,663,168,47
62.0,690,973,690,176,52
63.0,720,901,720,181,62
64.0,750,818,750,188,69
65.0,764,753,764,195,79
66.0,782,680,782,202,90
67.0,777,625,777,205,102
68.0,770,570,770,213,107
69.0,763,499,763,217,120
70.0,756,446,756,217,131
71.0,727,385,727,217,147
72.0,699,340,699,211,162
73.0,670,298,670,207,176
74.0,611,270,611,198,194
75.0,570,242,570,182,215
76.0,522,222,522,173,228
77.0,487,202,487,162,243
78.0,450,183,450,152,257
79.0,393,169,393,137,274
80.0,352,150,352,124,292
81.0,300,142,300,111,307
82.0,264,129,264,100,320
83.0,222,122,222,84,337
84.0,198,116,198,73,348
85.0,164,111,164,58,364
86.0,145,105,145,54,373
87.0,124,100,124,46,383
88.0,105,95,105,37,392
89.0,92,91,92,32,397
90.0,76,89,76,29,401
91.0,68,87,68,26,405
92.0,56,84,56,22,409
93.0,49,83,49,20,411
94.0,39,82,39,15,416
95.0,35,80,35,13,418
96.0,35,77,35,13,420
97.0,32,76,32,12,421
98.0,28,75,28,12,421
99.0,25,73,25,11,422
100.0,19,73,19,6,427
