time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,1999,1,0,0
2,1,1999,1,0,0
3.0,2,1998,2,0,0
4.0,4,1996,4,0,0
5.0,4,1996,4,0,0
6.0,4,1996,4,0,0
7.0,7,1993,7,0,0
8.0,10,1990,10,0,0
9.0,17,1983,17,0,0
10.0,17,1982,17,0,0
11.0,22,1977,22,1,0
12.0,25,1974,25,1,0
13.0,31,1967,31,2,0
14.0,34,1962,34,3,0
15.0,47,1949,47,6,0
16.0,57,1939,57,10,0
17.0,62,1931,62,12,0
18.0,76,1914,76,16,0
19.0,83,1900,83,19,0
20.0,97,1885,97,24,0
21.0,111,1867,111,27,0
22.0,125,1850,125,30,0
23.0,141,1828,141,36,0
24.0,161,1804,161,40,0
25.0,176,1778,176,46,1
26.0,196,1752,196,52,1
27.0,219,1722,219,58,2
28.0,239,1688,239,64,3
29.0,267,1646,267,66,6
30.0,291,1608,291,69,10
31.0,336,1546,336,76,12
32.0,359,1505,359,81,16
33.0,388,1457,388,86,19
34.0,405,1415,405,93,24
35.0,441,1357,441,110,27
36.0,477,1298,477,120,30
37.0,501,1245,501,120,36
38.0,517,1198,517,124,40
39.0,538,1133,538,128,47
40.0,560,1074,560,131,53
41.0,568,1006,568,135,60
42.0,590,945,590,139,67
43.0,605,885,605,143,72
44.0,624,829,624,146,79
45.0,636,770,636,147,88
46.0,642,709,642,148,97
47.0,642,654,642,152,105
48.0,635,610,635,148,117
49.0,616,555,616,140,137
50.0,593,515,593,140,150
51.0,576,469,576,142,156
52.0,556,431,556,140,164
53.0,524,401,524,134,175
54.0,507,363,507,136,184
55.0,478,332,478,129,195
56.0,445,303,445,123,206
57.0,423,273,423,118,215
58.0,391,259,391,111,225
59.0,350,247,350,103,235
60.0,336,224,336,97,245
61.0,304,206,304,88,257
62.0,277,193,277,81,265
63.0,250,183,250,70,277
64.0,212,181,212,57,290
65.0,180,178,180,49,298
66.0,155,173,155,43,304
67.0,129,168,129,41,309
68.0,115,160,115,33,320
69.0,106,155,106,29,324
70.0,86,151,86,27,329
71.0,70,148,70,25,333
72.0,56,147,56,22,336
73.0,49,143,49,22,338
74.0,44,142,44,18,342
75.0,40,140,40,16,345
76.0,38,136,38,18,346
77.0,42,129,42,20,347
78.0,38,128,38,20,347
79.0,34,127,34,20,347
80.0,34,126,34,20,347
81.0,31,125,31,18,350
82.0,28,124,28,15,353
83.0,27,123,27,15,353
84.0,24,122,24,12,356
85.0,21,122,21,10,358
86.0,22,120,22,10,358
87.0,16,120,16,8,360
88.0,18,117,18,9,360
89.0,18,115,18,8,361
90.0,16,113,16,5,364
91.0,13,113,13,2,367
92.0,14,111,14,3,367
93.0,13,111,13,3,367
94.0,12,111,12,3,367
95.0,13,109,13,2,368
96.0,12,108,12,2,368
97.0,12,108,12,2,368
98.0,10,108,10,2,368
99.0,8,108,8,2,368
100.0,7,107,7,2,368
