time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,1999,1,0,0
2,1,1999,1,0,0
3,1,1999,1,0,0
4,1,1999,1,0,0
5,1,1999,1,0,0
6,1,1999,1,0,0
7,1,1999,1,0,0
8,1,1999,1,0,0
9.0,2,1998,2,0,0
10.0,4,1995,4,1,0
11.0,4,1995,4,1,0
12.0,6,1993,6,1,0
13.0,8,1991,8,1,0
14.0,10,1989,10,2,0
15.0,11,1988,11,2,0
16.0,13,1986,13,2,0
17.0,15,1984,15,2,0
18.0,22,1977,22,4,0
19.0,25,1973,25,6,0
20.0,26,1970,26,8,0
21.0,31,1965,31,10,0
22.0,31,1963,31,10,0
23.0,34,1958,34,11,0
24.0,36,1954,36,11,1
25.0,39,1950,39,11,1
26.0,43,1944,43,11,1
27.0,45,1940,45,12,1
28.0,41,1938,41,12,2
29.0,46,1931,46,13,2
30.0,48,1928,48,14,2
31.0,50,1923,50,14,2
32.0,47,1922,47,12,4
33.0,45,1918,45,10,6
34.0,51,1907,51,11,8
35.0,52,1900,52,11,10
36.0,54,1892,54,12,10
37.0,55,1887,55,12,11
38.0,60,1880,60,13,12
39.0,61,1873,61,15,12
40.0,63,1869,63,16,12
41.0,62,1864,62,18,13
42.0,69,1855,69,20,14
43.0,71,1848,71,20,15
44.0,65,1845,65,20,16
45.0,70,1835,70,22,16
46.0,72,1826,72,22,16
47.0,72,1822,72,23,16
48.0,75,1811,75,21,19
49.0,73,1806,73,21,21
50.0,77,1798,77,22,22
51.0,80,1792,80,24,23
52.0,78,1786,78,24,25
53.0,77,1779,77,22,27
54.0,76,1777,76,21,28
55.0,77,1765,77,18,31
56.0,69,1761,69,17,34
57.0,72,1754,72,18,35
58.0,71,1744,71,18,36
59.0,74,1736,74,17,38
60.0,79,1725,79,19,38
61.0,87,1713,87,21,39
62.0,87,1708,87,22,40
63.0,91,1695,91,24,42
64.0,102,1680,102,26,44
65.0,96,1671,96,26,47
66.0,97,1666,97,24,49
67.0,103,1655,103,25,49
68.0,103,1646,103,26,49
69.0,107,1635,107,28,49
70.0,111,1620,111,29,51
71.0,113,1607,113,30,53
72.0,118,1598,118,30,54
73.0,113,1593,113,31,55
74.0,108,1585,108,29,57
75.0,107,1577,107,29,60
76.0,102,1575,102,27,62
77.0,94,1569,94,23,66
78.0,87,1564,87,21,70
79.0,80,1559,80,20,73
80.0,77,1550,77,22,73
81.0,73,1543,73,23,74
82.0,69,1538,69,24,75
83.0,72,1530,72,26,77
84.0,66,1525,66,23,80
85.0,64,1519,64,21,83
86.0,63,1517,63,20,84
87.0,61,1511,61,18,86
88.0,63,1506,63,19,86
89.0,62,1501,62,16,89
90.0,57,1499,57,16,89
91.0,58,1493,58,17,89
92.0,59,1487,59,16,91
93.0,61,1479,61,16,93
94.0,59,1474,59,17,95
95.0,56,1470,56,17,97
96.0,54,1468,54,15,99
97.0,46,1466,46,12,103
98.0,46,1462,46,13,103
99.0,46,1456,46,12,104
100.0,49,1451,49,14,104
