time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2,1,9999,1,0,0
3.0,5,9995,5,0,0
4.0,14,9986,14,2,0
5.0,30,9970,30,4,0
6.0,55,9945,55,6,0
7.0,96,9904,96,14,0
8.0,160,9840,160,32,0
9.0,266,9734,266,49,0
10.0,459,9540,459,81,0
11.0,793,9206,793,154,0
12.0,1310,8689,1310,257,0
13.0,2112,7883,2112,432,0
14.0,3216,6772,3216,687,0
15.0,4497,5477,4497,990,0
16.0,5740,4211,5740,1269,0
17.0,6804,3114,6804,1523,0
18.0,7587,2283,7587,1694,2
19.0,8111,1668,8111,1841,4
20.0,8384,1231,8384,1943,6
21.0,8404,942,8404,1998,14
22.0,8162,752,8162,2021,32
23.0,7635,631,7635,2035,49
24.0,6830,548,6830,2018,81
25.0,5828,485,5828,1955,154
26.0,4782,441,4782,1861,257
27.0,3793,412,3793,1692,432
28.0,2901,391,2901,1442,687
29.0,2152,371,2152,1140,990
30.0,1551,360,1551,862,1269
31.0,1075,356,1075,611,1523
32.0,756,353,756,441,1696
33.0,520,350,520,293,1845
34.0,351,347,351,190,1949
35.0,236,346,236,127,2012
36.0,160,346,160,86,2053
37.0,107,345,107,55,2084
38.0,76,345,76,40,2099
39.0,47,345,47,30,2109
40.0,28,345,28,21,2118
41.0,21,345,21,15,2124
42.0,16,345,16,10,2129
43.0,13,345,13,9,2130
44.0,10,345,10,8,2131
45.0,6,345,6,5,2134
46.0,3,345,3,2,2137
47.0,1,345,1,1,2138
48.0,0,345,0,0,2139
49.0,0,345,0,0,2139
50.0,0,345,0,0,2139
51.0,0,345,0,0,2139
52.0,0,345,0,0,2139
53.0,0,345,0,0,2139
54.0,0,345,0,0,2139
55.0,0,345,0,0,2139
56.0,0,345,0,0,2139
57.0,0,345,0,0,2139
58.0,0,345,0,0,2139
59.0,0,345,0,0,2139
60.0,0,345,0,0,2139
61.0,0,345,0,0,2139
62.0,0,345,0,0,2139
63.0,0,345,0,0,2139
64.0,0,345,0,0,2139
65.0,0,345,0,0,2139
66.0,0,345,0,0,2139
67.0,0,345,0,0,2139
68.0,0,345,0,0,2139
69.0,0,345,0,0,2139
70.0,0,345,0,0,2139
71.0,0,345,0,0,2139
72.0,0,345,0,0,2139
73.0,0,345,0,0,2139
74.0,0,345,0,0,2139
75.0,0,345,0,0,2139
76.0,0,345,0,0,2139
77.0,0,345,0,0,2139
78.0,0,345,0,0,2139
79.0,0,345,0,0,2139
80.0,0,345,0,0,2139
81.0,0,345,0,0,2139
82.0,0,345,0,0,2139
83.0,0,345,0,0,2139
84.0,0,345,0,0,2139
85.0,0,345,0,0,2139
86.0,0,345,0,0,2139
87.0,0,345,0,0,2139
88.0,0,345,0,0,2139
89.0,0,345,0,0,2139
90.0,0,345,0,0,2139
91.0,0,345,0,0,2139
92.0,0,345,0,0,2139
93.0,0,345,0,0,2139
94.0,0,345,0,0,2139
95.0,0,345,0,0,2139
96.0,0,345,0,0,2139
97.0,0,345,0,0,2139
98.0,0,345,0,0,2139
99.0,0,345,0,0,2139
100.0,0,345,0,0,2139
