time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2,1,9999,1,0,0
3,1,9999,1,0,0
4,1,9999,1,0,0
5,1,9999,1,0,0
6,1,9999,1,0,0
7.0,3,9997,3,0,0
8.0,3,9997,3,0,0
9.0,3,9997,3,0,0
10.0,2,9997,2,0,0
11.0,3,9996,3,1,0
12.0,3,9996,3,1,0
13.0,3,9996,3,1,0
14.0,3,9996,3,1,0
15.0,3,9996,3,1,0
16.0,3,9996,3,1,0
17.0,1,9996,1,1,0
18.0,1,9996,1,1,0
19.0,1,9996,1,1,0
20.0,1,9996,1,1,0
21.0,2,9995,2,1,0
22.0,2,9995,2,1,0
23.0,3,9994,3,1,0
24.0,3,9994,3,1,0
25.0,2,9994,2,0,1
26.0,2,9994,2,0,1
27.0,2,9994,2,0,1
28.0,2,9994,2,0,1
29.0,3,9993,3,1,1
30.0,3,9993,3,1,1
31.0,2,9993,2,1,1
32.0,2,9993,2,1,1
33.0,1,9993,1,1,1
34.0,1,9993,1,1,1
35.0,1,9993,1,1,1
36.0,1,9993,1,1,1
37.0,1,9993,1,1,1
38.0,1,9993,1,1,1
39.0,1,9993,1,1,1
40.0,2,9992,2,1,1
41.0,3,9991,3,2,1
42.0,3,9991,3,2,1
43.0,2,9991,2,1,2
44.0,2,9991,2,1,2
45.0,2,9991,2,1,2
46.0,2,9991,2,1,2
47.0,2,9991,2,1,2
48.0,2,9991,2,1,2
49.0,3,9990,3,2,2
50.0,2,9990,2,2,2
51.0,2,9990,2,2,2
52.0,4,9988,4,3,2
53.0,4,9988,4,3,2
54.0,4,9988,4,3,2
55.0,3,9988,3,2,3
56.0,3,9988,3,2,3
57.0,3,9988,3,2,3
58.0,7,9984,7,3,3
59.0,7,9984,7,3,3
60.0,9,9982,9,3,3
61.0,12,9979,12,5,3
62.0,16,9974,16,7,3
63.0,16,9973,16,6,4
64.0,18,9971,18,6,4
65.0,22,9967,22,7,4
66.0,23,9965,23,6,5
67.0,27,9961,27,6,5
68.0,28,9957,28,8,5
69.0,33,9952,33,9,5
70.0,35,9948,35,10,5
71.0,38,9944,38,12,5
72.0,37,9941,37,11,6
73.0,47,9930,47,13,6
74.0,56,9919,56,15,6
75.0,60,9910,60,15,8
76.0,61,9905,61,13,10
77.0,68,9894,68,15,10
78.0,75,9885,75,16,10
79.0,85,9870,85,18,11
80.0,97,9855,97,21,11
81.0,120,9830,120,26,11
82.0,142,9803,142,28,13
83.0,156,9779,156,31,14
84.0,193,9732,193,41,15
85.0,218,9698,218,46,17
86.0,258,9653,258,59,17
87.0,303,9597,303,74,19
88.0,356,9534,356,90,21
89.0,405,9471,405,99,23
90.0,459,9405,459,114,23
91.0,520,9322,520,121,25
92.0,583,9235,583,136,26
93.0,657,9138,657,159,29
94.0,714,9042,714,176,32
95.0,775,8949,775,184,37
96.0,833,8855,833,199,41
97.0,882,8763,882,216,45
98.0,947,8642,947,232,56
99.0,1023,8507,1023,252,63
100.0,1063,8403,1063,262,76
