time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2.0,2,9998,2,0,0
3.0,3,9997,3,0,0
4.0,4,9996,4,1,0
5.0,4,9996,4,1,0
6.0,5,9995,5,2,0
7.0,7,9993,7,2,0
8.0,8,9992,8,2,0
9.0,9,9991,9,2,0
10.0,10,9989,10,2,0
11.0,15,9984,15,2,0
12.0,19,9979,19,5,0
13.0,25,9972,25,7,0
14.0,38,9959,38,10,0
15.0,47,9950,47,11,0
16.0,69,9928,69,16,0
17.0,89,9906,89,18,0
18.0,113,9880,113,24,1
19.0,153,9839,153,32,1
20.0,201,9788,201,41,2
21.0,274,9710,274,53,2
22.0,372,9610,372,74,2
23.0,497,9480,497,94,2
24.0,662,9305,662,135,2
25.0,891,9068,891,183,2
26.0,1173,8766,1173,253,5
27.0,1576,8341,1576,349,7
28.0,2043,7852,2043,438,10
29.0,2585,7276,2585,573,11
30.0,3253,6562,3253,709,16
31.0,3982,5765,3982,884,18
32.0,4745,4916,4745,1044,25
33.0,5411,4132,5411,1187,33
34.0,6030,3369,6030,1359,43
35.0,6542,2656,6542,1482,55
36.0,6872,2076,6872,1580,76
37.0,7004,1597,7004,1660,96
38.0,6965,1198,6965,1697,137
39.0,6777,898,6777,1709,185
40.0,6337,692,6337,1674,258
41.0,5769,542,5769,1608,356
42.0,5101,436,5101,1538,448
43.0,4391,377,4391,1417,584
44.0,3730,316,3730,1292,725
45.0,3014,277,3014,1121,902
46.0,2411,252,2411,960,1069
47.0,1911,222,1911,814,1220
48.0,1423,207,1423,633,1402
49.0,1058,197,1058,500,1537
50.0,778,190,778,384,1656
51.0,565,185,565,285,1756
52.0,405,183,405,207,1834
53.0,302,182,302,147,1894
54.0,221,180,221,109,1932
55.0,158,178,158,78,1964
56.0,118,177,118,57,1986
57.0,79,176,79,43,2001
58.0,49,176,49,27,2017
59.0,36,175,36,21,2023
60.0,26,175,26,15,2029
61.0,17,175,17,10,2034
62.0,15,174,15,10,2035
63.0,12,174,12,8,2037
64.0,7,174,7,5,2040
65.0,5,174,5,4,2041
66.0,5,174,5,4,2041
67.0,5,174,5,4,2041
68.0,5,174,5,4,2041
69.0,3,174,3,3,2042
70.0,2,174,2,2,2043
71.0,2,173,2,1,2044
72.0,2,173,2,1,2044
73.0,2,173,2,1,2044
74.0,2,173,2,1,2044
75.0,2,173,2,1,2044
76.0,1,173,1,0,2045
77.0,1,173,1,0,2045
78.0,1,173,1,0,2045
79.0,1,173,1,0,2045
80.0,1,173,1,0,2045
81.0,0,173,0,0,2045
82.0,0,173,0,0,2045
83.0,0,173,0,0,2045
84.0,0,173,0,0,2045
85.0,0,173,0,0,2045
86.0,0,173,0,0,2045
87.0,0,173,0,0,2045
88.0,0,173,0,0,2045
89.0,0,173,0,0,2045
90.0,0,173,0,0,2045
91.0,0,173,0,0,2045
92.0,0,173,0,0,2045
93.0,0,173,0,0,2045
94.0,0,173,0,0,2045
95.0,0,173,0,0,2045
96.0,0,173,0,0,2045
97.0,0,173,0,0,2045
98.0,0,173,0,0,2045
99.0,0,173,0,0,2045
100.0,0,173,0,0,2045
