time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2.0,2,9998,2,1,0
3.0,3,9997,3,1,0
4.0,5,9995,5,2,0
5.0,8,9992,8,2,0
6.0,9,9991,9,2,0
7.0,11,9989,11,2,0
8.0,18,9982,18,3,0
9.0,29,9971,29,6,0
10.0,46,9953,46,8,0
11.0,59,9940,59,10,0
12.0,85,9914,85,16,0
13.0,110,9888,110,20,0
14.0,151,9846,151,28,0
15.0,193,9801,193,34,0
16.0,244,9748,244,42,1
17.0,310,9680,310,56,1
18.0,393,9590,393,75,2
19.0,494,9481,494,102,2
20.0,633,9326,633,141,2
21.0,851,9097,851,190,2
22.0,1115,8812,1115,254,3
23.0,1439,8463,1439,326,6
24.0,1785,8081,1785,395,8
25.0,2211,7614,2211,495,10
26.0,2710,7065,2710,603,16
27.0,3251,6466,3251,744,20
28.0,3854,5785,3854,891,28
29.0,4485,5066,4485,1050,34
30.0,5059,4367,5059,1192,43
31.0,5546,3686,5546,1317,57
32.0,5904,3088,5904,1424,77
33.0,6174,2517,6174,1512,104
34.0,6303,2038,6303,1578,143
35.0,6292,1635,6292,1615,192
36.0,6119,1308,6119,1624,257
37.0,5839,1059,5839,1609,332
38.0,5452,849,5452,1578,403
39.0,4934,711,4934,1501,505
40.0,4394,589,4394,1423,619
41.0,3803,493,3803,1297,764
42.0,3234,436,3234,1155,919
43.0,2673,376,2673,1003,1084
44.0,2186,338,2186,858,1235
45.0,1759,309,1759,724,1374
46.0,1400,288,1400,606,1501
47.0,1110,274,1110,495,1616
48.0,846,263,846,392,1721
49.0,655,255,655,307,1807
50.0,499,251,499,233,1881
51.0,367,246,367,175,1941
52.0,288,241,288,136,1981
53.0,219,238,219,111,2006
54.0,151,238,151,75,2042
55.0,110,236,110,57,2061
56.0,87,234,87,44,2074
57.0,65,233,65,31,2087
58.0,50,233,50,25,2093
59.0,38,233,38,20,2098
60.0,26,232,26,11,2107
61.0,20,231,20,7,2111
62.0,14,231,14,5,2113
63.0,10,231,10,4,2114
64.0,10,231,10,4,2114
65.0,7,231,7,2,2116
66.0,4,231,4,1,2117
67.0,3,231,3,1,2117
68.0,3,231,3,1,2117
69.0,2,231,2,0,2118
70.0,1,231,1,0,2118
71.0,0,231,0,0,2118
72.0,0,231,0,0,2118
73.0,0,231,0,0,2118
74.0,0,231,0,0,2118
75.0,0,231,0,0,2118
76.0,0,231,0,0,2118
77.0,0,231,0,0,2118
78.0,0,231,0,0,2118
79.0,0,231,0,0,2118
80.0,0,231,0,0,2118
81.0,0,231,0,0,2118
82.0,0,231,0,0,2118
83.0,0,231,0,0,2118
84.0,0,231,0,0,2118
85.0,0,231,0,0,2118
86.0,0,231,0,0,2118
87.0,0,231,0,0,2118
88.0,0,231,0,0,2118
89.0,0,231,0,0,2118
90.0,0,231,0,0,2118
91.0,0,231,0,0,2118
92.0,0,231,0,0,2118
93.0,0,231,0,0,2118
94.0,0,231,0,0,2118
95.0,0,231,0,0,2118
96.0,0,231,0,0,2118
97.0,0,231,0,0,2118
98.0,0,231,0,0,2118
99.0,0,231,0,0,2118
100.0,0,231,0,0,2118
