time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,9998,2,1,0
2.0,2,9998,2,1,0
3.0,2,9998,2,1,0
4.0,2,9998,2,1,0
5.0,3,9997,3,1,0
6.0,3,9997,3,1,0
7.0,8,9992,8,3,0
8.0,9,9991,9,3,0
9.0,15,9985,15,5,0
10.0,30,9969,30,10,0
11.0,90,9909,90,22,0
12.0,260,9739,260,57,0
13.0,711,9288,711,149,0
14.0,1514,8485,1514,311,0
15.0,2654,7343,2654,561,1
16.0,3951,6046,3951,830,1
17.0,5179,4815,5179,1126,1
18.0,6324,3669,6324,1373,1
19.0,7245,2744,7245,1580,1
20.0,7977,2001,7977,1752,1
21.0,8488,1440,8488,1880,3
22.0,8763,1030,8763,1971,3
23.0,8678,754,8678,2035,5
24.0,8214,572,8214,2066,10
25.0,7458,425,7458,2086,22
26.0,6483,337,6483,2076,57
27.0,5516,277,5516,1994,149
28.0,4490,242,4490,1839,311
29.0,3540,223,3540,1594,562
30.0,2716,207,2716,1331,831
31.0,1999,197,1999,1037,1127
32.0,1441,189,1441,793,1374
33.0,1025,188,1025,586,1581
34.0,711,184,711,417,1753
35.0,469,181,469,288,1883
36.0,317,179,317,197,1974
37.0,201,179,201,131,2040
38.0,138,178,138,95,2076
39.0,93,178,93,63,2108
40.0,59,177,59,38,2133
41.0,41,177,41,28,2143
42.0,29,177,29,21,2150
43.0,22,177,22,15,2156
44.0,15,177,15,9,2162
45.0,11,177,11,7,2164
46.0,6,177,6,4,2167
47.0,6,177,6,4,2167
48.0,2,177,2,1,2170
49.0,1,177,1,0,2171
50.0,0,177,0,0,2171
51.0,0,177,0,0,2171
52.0,0,177,0,0,2171
53.0,0,177,0,0,2171
54.0,0,177,0,0,2171
55.0,0,177,0,0,2171
56.0,0,177,0,0,2171
57.0,0,177,0,0,2171
58.0,0,177,0,0,2171
59.0,0,177,0,0,2171
60.0,0,177,0,0,2171
61.0,0,177,0,0,2171
62.0,0,177,0,0,2171
63.0,0,177,0,0,2171
64.0,0,177,0,0,2171
65.0,0,177,0,0,2171
66.0,0,177,0,0,2171
67.0,0,177,0,0,2171
68.0,0,177,0,0,2171
69.0,0,177,0,0,2171
70.0,0,177,0,0,2171
71.0,0,177,0,0,2171
72.0,0,177,0,0,2171
73.0,0,177,0,0,2171
74.0,0,177,0,0,2171
75.0,0,177,0,0,2171
76.0,0,177,0,0,2171
77.0,0,177,0,0,2171
78.0,0,177,0,0,2171
79.0,0,177,0,0,2171
80.0,0,177,0,0,2171
81.0,0,177,0,0,2171
82.0,0,177,0,0,2171
83.0,0,177,0,0,2171
84.0,0,177,0,0,2171
85.0,0,177,0,0,2171
86.0,0,177,0,0,2171
87.0,0,177,0,0,2171
88.0,0,177,0,0,2171
89.0,0,177,0,0,2171
90.0,0,177,0,0,2171
91.0,0,177,0,0,2171
92.0,0,177,0,0,2171
93.0,0,177,0,0,2171
94.0,0,177,0,0,2171
95.0,0,177,0,0,2171
96.0,0,177,0,0,2171
97.0,0,177,0,0,2171
98.0,0,177,0,0,2171
99.0,0,177,0,0,2171
100.0,0,177,0,0,2171
