time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,7,9993,7,3,0
2.0,66,9934,66,20,0
3.0,266,9734,266,67,0
4.0,744,9256,744,168,0
5.0,1476,8524,1476,325,0
6.0,2497,7503,2497,552,0
7.0,3702,6298,3702,837,0
8.0,4879,5121,4879,1093,0
9.0,6056,3944,6056,1357,0
10.0,7112,2887,7112,1601,0
11.0,7989,2007,7989,1778,0
12.0,8650,1304,8650,1934,0
13.0,8937,864,8937,2032,0
14.0,8876,548,8876,2104,0
15.0,8529,317,8529,2137,3
16.0,7849,186,7849,2149,20
17.0,6957,111,6957,2116,67
18.0,5978,68,5978,2021,168
19.0,4945,31,4945,1876,325
20.0,3924,12,3924,1653,552
21.0,2943,5,2943,1369,837
22.0,2142,3,2142,1113,1093
23.0,1537,2,1537,849,1357
24.0,1050,1,1050,606,1601
25.0,679,0,679,430,1778
26.0,421,0,421,274,1934
27.0,262,0,262,176,2032
28.0,153,0,153,104,2104
29.0,92,0,92,68,2140
30.0,48,0,48,39,2169
31.0,28,0,28,25,2183
32.0,20,0,20,19,2189
33.0,7,0,7,7,2201
34.0,3,0,3,3,2205
35.0,2,0,2,2,2206
36.0,2,0,2,2,2206
37.0,2,0,2,2,2206
38.0,1,0,1,1,2207
39.0,0,0,0,0,2208
40.0,0,0,0,0,2208
41.0,0,0,0,0,2208
42.0,0,0,0,0,2208
43.0,0,0,0,0,2208
44.0,0,0,0,0,2208
45.0,0,0,0,0,2208
46.0,0,0,0,0,2208
47.0,0,0,0,0,2208
48.0,0,0,0,0,2208
49.0,0,0,0,0,2208
50.0,0,0,0,0,2208
51.0,0,0,0,0,2208
52.0,0,0,0,0,2208
53.0,0,0,0,0,2208
54.0,0,0,0,0,2208
55.0,0,0,0,0,2208
56.0,0,0,0,0,2208
57.0,0,0,0,0,2208
58.0,0,0,0,0,2208
59.0,0,0,0,0,2208
60.0,0,0,0,0,2208
61.0,0,0,0,0,2208
62.0,0,0,0,0,2208
63.0,0,0,0,0,2208
64.0,0,0,0,0,2208
65.0,0,0,0,0,2208
66.0,0,0,0,0,2208
67.0,0,0,0,0,2208
68.0,0,0,0,0,2208
69.0,0,0,0,0,2208
70.0,0,0,0,0,2208
71.0,0,0,0,0,2208
72.0,0,0,0,0,2208
73.0,0,0,0,0,2208
74.0,0,0,0,0,2208
75.0,0,0,0,0,2208
76.0,0,0,0,0,2208
77.0,0,0,0,0,2208
78.0,0,0,0,0,2208
79.0,0,0,0,0,2208
80.0,0,0,0,0,2208
81.0,0,0,0,0,2208
82.0,0,0,0,0,2208
83.0,0,0,0,0,2208
84.0,0,0,0,0,2208
85.0,0,0,0,0,2208
86.0,0,0,0,0,2208
87.0,0,0,0,0,2208
88.0,0,0,0,0,2208
89.0,0,0,0,0,2208
90.0,0,0,0,0,2208
91.0,0,0,0,0,2208
92.0,0,0,0,0,2208
93.0,0,0,0,0,2208
94.0,0,0,0,0,2208
95.0,0,0,0,0,2208
96.0,0,0,0,0,2208
97.0,0,0,0,0,2208
98.0,0,0,0,0,2208
99.0,0,0,0,0,2208
100.0,0,0,0,0,2208
