time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,2,9998,2,1,0
2.0,2,9998,2,1,0
3.0,2,9998,2,1,0
4.0,2,9998,2,1,0
5.0,2,9998,2,1,0
6.0,3,9997,3,1,0
7.0,3,9997,3,1,0
8.0,4,9996,4,2,0
9.0,4,9996,4,2,0
10.0,4,9995,4,2,0
11.0,4,9995,4,2,0
12.0,7,9992,7,3,0
13.0,7,9992,7,3,0
14.0,8,9991,8,3,0
15.0,10,9988,10,2,1
16.0,13,9984,13,3,1
17.0,14,9983,14,3,1
18.0,14,9983,14,3,1
19.0,16,9981,16,3,1
20.0,17,9979,17,4,1
21.0,22,9974,22,5,1
22.0,22,9971,22,5,2
23.0,24,9969,24,6,2
24.0,26,9966,26,8,2
25.0,29,9960,29,12,2
26.0,27,9958,27,11,3
27.0,30,9954,30,12,3
28.0,36,9948,36,12,3
29.0,46,9936,46,13,3
30.0,50,9930,50,13,4
31.0,53,9923,53,15,4
32.0,57,9917,57,15,4
33.0,62,9911,62,16,4
34.0,73,9898,73,17,5
35.0,83,9885,83,17,6
36.0,90,9875,90,18,7
37.0,98,9863,98,19,8
38.0,102,9851,102,19,10
39.0,106,9832,106,18,14
40.0,122,9811,122,24,14
41.0,133,9794,133,28,15
42.0,151,9770,151,34,15
43.0,165,9750,165,39,16
44.0,186,9717,186,44,17
45.0,210,9679,210,51,19
46.0,247,9634,247,61,19
47.0,271,9599,271,70,20
48.0,297,9561,297,75,22
49.0,325,9516,325,84,23
50.0,357,9467,357,91,25
51.0,395,9415,395,96,27
52.0,416,9374,416,103,29
53.0,464,9309,464,118,32
54.0,479,9261,479,120,38
55.0,511,9195,511,134,43
56.0,559,9106,559,147,49
57.0,607,9027,607,157,55
58.0,652,8945,652,165,61
59.0,710,8843,710,178,70
60.0,758,8745,758,192,80
61.0,804,8644,804,200,90
62.0,873,8536,873,222,97
63.0,953,8399,953,249,107
64.0,1019,8284,1019,271,116
65.0,1095,8154,1095,295,123
66.0,1175,7995,1175,327,132
67.0,1235,7854,1235,329,150
68.0,1301,7712,1301,350,158
69.0,1369,7545,1369,364,177
70.0,1447,7374,1447,387,196
71.0,1515,7207,1515,408,212
72.0,1580,7049,1580,427,226
73.0,1634,6873,1634,445,248
74.0,1722,6677,1722,454,272
75.0,1790,6492,1790,488,290
76.0,1832,6303,1832,512,319
77.0,1848,6129,1848,520,356
78.0,1900,5933,1900,531,387
79.0,1920,5748,1920,534,418
80.0,1919,5579,1919,531,459
81.0,1951,5397,1951,541,479
82.0,1977,5217,1977,572,508
83.0,1976,5049,1976,572,541
84.0,1958,4862,1958,574,583
85.0,1955,4695,1955,569,620
86.0,1963,4518,1963,582,653
87.0,1945,4367,1945,580,693
88.0,1908,4217,1908,564,726
89.0,1864,4058,1864,552,778
90.0,1839,3899,1839,540,831
91.0,1756,3785,1756,516,876
92.0,1707,3672,1707,507,918
93.0,1652,3558,1652,497,952
94.0,1565,3464,1565,481,990
95.0,1489,3375,1489,472,1020
96.0,1391,3282,1391,430,1080
97.0,1335,3192,1335,421,1113
98.0,1237,3113,1237,395,1157
99.0,1162,3037,1162,378,1189
100.0,1060,2975,1060,346,1235
