time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,1,0
2.0,2,9998,2,1,0
3.0,3,9997,3,1,0
4.0,6,9994,6,2,0
5.0,30,9970,30,4,0
6.0,99,9901,99,16,0
7.0,362,9638,362,66,0
8.0,1085,8915,1085,236,0
9.0,2440,7560,2440,516,0
10.0,4173,5827,4173,888,0
11.0,5797,4203,5797,1260,0
12.0,7060,2939,7060,1530,0
13.0,8053,1945,8053,1752,0
14.0,8700,1295,8700,1891,1
15.0,9157,816,9157,2005,1
16.0,9371,545,9371,2050,1
17.0,9352,351,9352,2087,1
18.0,8909,240,8909,2108,2
19.0,7904,168,7904,2117,4
20.0,6575,124,6575,2113,16
21.0,5301,96,5301,2071,66
22.0,4160,73,4160,1904,236
23.0,3119,62,3119,1628,516
24.0,2242,57,2242,1256,888
25.0,1509,53,1509,884,1260
26.0,1015,51,1015,614,1530
27.0,637,50,637,392,1752
28.0,408,50,408,252,1892
29.0,234,49,234,138,2006
30.0,153,49,153,93,2051
31.0,97,48,97,56,2088
32.0,56,47,56,35,2110
33.0,38,47,38,24,2121
34.0,25,47,25,16,2129
35.0,13,47,13,8,2137
36.0,8,47,8,5,2140
37.0,3,47,3,1,2144
38.0,3,47,3,1,2144
39.0,2,47,2,1,2144
40.0,2,47,2,1,2144
41.0,1,47,1,1,2144
42.0,1,47,1,1,2144
43.0,1,47,1,1,2144
44.0,1,47,1,1,2144
45.0,1,47,1,1,2144
46.0,0,47,0,0,2145
47.0,0,47,0,0,2145
48.0,0,47,0,0,2145
49.0,0,47,0,0,2145
50.0,0,47,0,0,2145
51.0,0,47,0,0,2145
52.0,0,47,0,0,2145
53.0,0,47,0,0,2145
54.0,0,47,0,0,2145
55.0,0,47,0,0,2145
56.0,0,47,0,0,2145
57.0,0,47,0,0,2145
58.0,0,47,0,0,2145
59.0,0,47,0,0,2145
60.0,0,47,0,0,2145
61.0,0,47,0,0,2145
62.0,0,47,0,0,2145
63.0,0,47,0,0,2145
64.0,0,47,0,0,2145
65.0,0,47,0,0,2145
66.0,0,47,0,0,2145
67.0,0,47,0,0,2145
68.0,0,47,0,0,2145
69.0,0,47,0,0,2145
70.0,0,47,0,0,2145
71.0,0,47,0,0,2145
72.0,0,47,0,0,2145
73.0,0,47,0,0,2145
74.0,0,47,0,0,2145
75.0,0,47,0,0,2145
76.0,0,47,0,0,2145
77.0,0,47,0,0,2145
78.0,0,47,0,0,2145
79.0,0,47,0,0,2145
80.0,0,47,0,0,2145
81.0,0,47,0,0,2145
82.0,0,47,0,0,2145
83.0,0,47,0,0,2145
84.0,0,47,0,0,2145
85.0,0,47,0,0,2145
86.0,0,47,0,0,2145
87.0,0,47,0,0,2145
88.0,0,47,0,0,2145
89.0,0,47,0,0,2145
90.0,0,47,0,0,2145
91.0,0,47,0,0,2145
92.0,0,47,0,0,2145
93.0,0,47,0,0,2145
94.0,0,47,0,0,2145
95.0,0,47,0,0,2145
96.0,0,47,0,0,2145
97.0,0,47,0,0,2145
98.0,0,47,0,0,2145
99.0,0,47,0,0,2145
100.0,0,47,0,0,2145
