time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2,1,9999,1,0,0
3,1,9999,1,0,0
4,1,9999,1,0,0
5,1,9999,1,0,0
6.0,2,9998,2,0,0
7.0,4,9996,4,1,0
8.0,5,9995,5,2,0
9.0,7,9993,7,2,0
10.0,9,9990,9,2,0
11.0,15,9984,15,4,0
12.0,20,9979,20,4,0
13.0,29,9970,29,6,0
14.0,45,9954,45,7,0
15.0,68,9931,68,10,0
16.0,99,9899,99,12,0
17.0,133,9864,133,17,0
18.0,166,9831,166,28,0
19.0,232,9763,232,42,0
20.0,316,9676,316,58,0
21.0,436,9551,436,80,1
22.0,586,9395,586,110,2
23.0,742,9232,742,153,2
24.0,943,9016,943,207,2
25.0,1241,8696,1241,258,4
26.0,1567,8340,1567,343,4
27.0,1934,7941,1934,416,6
28.0,2375,7477,2375,517,7
29.0,2891,6904,2891,622,10
30.0,3434,6288,3434,751,12
31.0,4029,5586,4029,904,17
32.0,4586,4893,4586,1046,28
33.0,5203,4142,5203,1201,42
34.0,5711,3456,5711,1335,58
35.0,6064,2813,6064,1487,81
36.0,6350,2225,6350,1586,112
37.0,6480,1728,6480,1631,155
38.0,6458,1334,6458,1675,209
39.0,6224,1050,6224,1698,262
40.0,5905,799,5905,1671,347
41.0,5436,649,5436,1628,422
42.0,4914,529,4914,1549,524
43.0,4327,426,4327,1461,632
44.0,3740,346,3740,1348,763
45.0,3159,301,3159,1198,921
46.0,2583,266,2583,1054,1074
47.0,2035,236,2035,895,1243
48.0,1611,214,1611,752,1393
49.0,1243,199,1243,579,1568
50.0,931,188,931,452,1698
51.0,733,180,733,366,1786
52.0,547,171,547,269,1884
53.0,392,167,392,193,1960
54.0,273,166,273,135,2018
55.0,205,165,205,104,2050
56.0,156,165,156,81,2073
57.0,118,163,118,62,2093
58.0,86,162,86,44,2111
59.0,66,161,66,36,2119
60.0,49,161,49,27,2128
61.0,33,161,33,17,2138
62.0,18,161,18,10,2145
63.0,12,161,12,8,2147
64.0,9,160,9,5,2150
65.0,7,160,7,3,2152
66.0,6,160,6,2,2153
67.0,5,160,5,2,2153
68.0,4,160,4,2,2153
69.0,2,160,2,1,2154
70.0,2,160,2,1,2154
71.0,1,160,1,0,2155
72.0,1,160,1,0,2155
73.0,1,160,1,0,2155
74.0,0,160,0,0,2155
75.0,0,160,0,0,2155
76.0,0,160,0,0,2155
77.0,0,160,0,0,2155
78.0,0,160,0,0,2155
79.0,0,160,0,0,2155
80.0,0,160,0,0,2155
81.0,0,160,0,0,2155
82.0,0,160,0,0,2155
83.0,0,160,0,0,2155
84.0,0,160,0,0,2155
85.0,0,160,0,0,2155
86.0,0,160,0,0,2155
87.0,0,160,0,0,2155
88.0,0,160,0,0,2155
89.0,0,160,0,0,2155
90.0,0,160,0,0,2155
91.0,0,160,0,0,2155
92.0,0,160,0,0,2155
93.0,0,160,0,0,2155
94.0,0,160,0,0,2155
95.0,0,160,0,0,2155
96.0,0,160,0,0,2155
97.0,0,160,0,0,2155
98.0,0,160,0,0,2155
99.0,0,160,0,0,2155
100.0,0,160,0,0,2155
