time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2.0,3,9997,3,0,0
3.0,4,9996,4,0,0
4.0,4,9996,4,0,0
5.0,5,9995,5,1,0
6.0,5,9995,5,1,0
7.0,6,9994,6,1,0
8.0,8,9992,8,2,0
9.0,9,9991,9,2,0
10.0,11,9988,11,3,0
11.0,13,9986,13,3,0
12.0,14,9983,14,5,0
13.0,16,9980,16,5,0
14.0,22,9974,22,7,0
15.0,31,9965,31,9,0
16.0,57,9939,57,15,0
17.0,93,9902,93,24,0
18.0,154,9840,154,32,0
19.0,229,9763,229,52,1
20.0,315,9675,315,76,1
21.0,467,9521,467,105,1
22.0,650,9336,650,142,2
23.0,901,9082,901,188,2
24.0,1187,8791,1187,245,3
25.0,1470,8501,1470,305,3
26.0,1803,8146,1803,390,5
27.0,2135,7786,2135,466,5
28.0,2431,7434,2431,544,7
29.0,2753,7054,2753,622,9
30.0,3029,6708,3029,700,15
31.0,3266,6337,3266,776,24
32.0,3496,5952,3496,864,32
33.0,3614,5605,3614,930,53
34.0,3676,5286,3676,971,77
35.0,3722,4981,3722,1006,106
36.0,3697,4700,3697,1036,144
37.0,3596,4471,3596,1037,190
38.0,3468,4269,3468,1024,248
39.0,3298,4079,3298,1005,308
40.0,3091,3937,3091,949,395
41.0,2865,3801,2865,903,471
42.0,2627,3670,2627,851,551
43.0,2402,3555,2402,797,631
44.0,2147,3472,2147,733,715
45.0,1901,3392,1901,668,800
46.0,1657,3327,1657,592,896
47.0,1445,3270,1445,520,983
48.0,1272,3221,1272,471,1048
49.0,1091,3189,1091,418,1112
50.0,962,3139,962,357,1180
51.0,846,3102,846,313,1227
52.0,719,3081,719,275,1272
53.0,619,3051,619,241,1313
54.0,543,3033,543,214,1344
55.0,466,3020,466,186,1374
56.0,413,3000,413,163,1402
57.0,356,2989,356,138,1428
58.0,308,2984,308,118,1448
59.0,274,2977,274,98,1468
60.0,219,2969,219,79,1488
61.0,179,2960,179,67,1503
62.0,152,2957,152,51,1519
63.0,123,2952,123,40,1530
64.0,109,2945,109,35,1537
65.0,99,2941,99,34,1540
66.0,83,2935,83,27,1547
67.0,68,2933,68,20,1554
68.0,61,2931,61,16,1558
69.0,53,2930,53,14,1560
70.0,44,2927,44,10,1565
71.0,39,2925,39,9,1566
72.0,37,2924,37,9,1566
73.0,33,2923,33,10,1566
74.0,28,2922,28,9,1567
75.0,23,2922,23,6,1570
76.0,18,2921,18,6,1570
77.0,17,2920,17,6,1570
78.0,13,2920,13,4,1572
79.0,11,2919,11,2,1574
80.0,9,2919,9,2,1574
81.0,8,2918,8,3,1574
82.0,8,2917,8,3,1574
83.0,8,2917,8,3,1574
84.0,6,2917,6,2,1575
85.0,6,2917,6,2,1575
86.0,5,2917,5,2,1575
87.0,3,2917,3,1,1576
88.0,3,2917,3,1,1576
89.0,2,2917,2,1,1576
90.0,2,2917,2,1,1576
91.0,2,2917,2,1,1576
92.0,1,2917,1,1,1576
93.0,1,2917,1,1,1576
94.0,1,2917,1,1,1576
95.0,0,2917,0,0,1577
96.0,0,2917,0,0,1577
97.0,0,2917,0,0,1577
98.0,0,2917,0,0,1577
99.0,0,2917,0,0,1577
100.0,0,2917,0,0,1577
