time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2,1,9999,1,0,0
3,1,9999,1,0,0
4.0,2,9998,2,0,0
5.0,2,9998,2,0,0
6.0,2,9998,2,0,0
7.0,3,9997,3,0,0
8.0,4,9996,4,0,0
9.0,6,9994,6,0,0
10.0,6,9993,6,0,0
11.0,8,9991,8,0,0
12.0,10,9989,10,0,0
13.0,15,9984,15,2,0
14.0,19,9979,19,3,0
15.0,30,9968,30,5,0
16.0,35,9963,35,7,0
17.0,53,9944,53,11,0
18.0,72,9924,72,11,0
19.0,98,9896,98,17,0
20.0,148,9845,148,25,0
21.0,212,9779,212,44,0
22.0,316,9673,316,66,0
23.0,461,9525,461,97,0
24.0,668,9314,668,134,0
25.0,894,9079,894,178,0
26.0,1171,8799,1171,241,0
27.0,1482,8471,1482,309,2
28.0,1825,8107,1825,388,3
29.0,2158,7750,2158,460,5
30.0,2502,7361,2502,546,7
31.0,2821,6991,2821,624,11
32.0,3105,6623,3105,704,11
33.0,3376,6229,3376,795,17
34.0,3568,5855,3568,864,25
35.0,3731,5482,3731,915,44
36.0,3836,5138,3836,979,66
37.0,3857,4828,3857,1024,97
38.0,3782,4582,3782,1039,134
39.0,3711,4326,3711,1051,178
40.0,3565,4108,3565,1033,241
41.0,3399,3916,3399,1003,311
42.0,3211,3736,3211,962,391
43.0,2976,3600,2976,910,465
44.0,2723,3468,2723,857,553
45.0,2449,3357,2449,792,635
46.0,2233,3235,2233,737,715
47.0,1973,3164,1973,655,812
48.0,1764,3102,1764,589,889
49.0,1548,3048,1548,524,959
50.0,1323,3014,1323,451,1045
51.0,1133,2976,1133,385,1121
52.0,981,2935,981,341,1173
53.0,845,2901,845,296,1229
54.0,725,2879,725,253,1274
55.0,604,2866,604,215,1314
56.0,490,2844,490,178,1353
57.0,426,2830,426,156,1375
58.0,348,2822,348,121,1410
59.0,289,2815,289,106,1427
60.0,250,2808,250,84,1452
61.0,221,2794,221,71,1467
62.0,185,2786,185,61,1478
63.0,159,2784,159,56,1483
64.0,127,2783,127,43,1496
65.0,111,2778,111,34,1506
66.0,86,2775,86,26,1514
67.0,62,2774,62,15,1525
68.0,53,2773,53,13,1527
69.0,47,2772,47,11,1529
70.0,41,2772,41,9,1531
71.0,30,2771,30,9,1531
72.0,24,2770,24,9,1531
73.0,20,2770,20,7,1533
74.0,17,2769,17,5,1536
75.0,11,2769,11,3,1538
76.0,7,2769,7,2,1539
77.0,6,2769,6,2,1539
78.0,6,2768,6,2,1539
79.0,4,2768,4,1,1540
80.0,4,2768,4,1,1540
81.0,3,2768,3,1,1540
82.0,2,2768,2,1,1540
83.0,3,2767,3,1,1540
84.0,3,2767,3,1,1540
85.0,3,2767,3,1,1540
86.0,3,2767,3,1,1540
87.0,3,2767,3,1,1540
88.0,1,2767,1,0,1541
89.0,1,2767,1,0,1541
90.0,1,2767,1,0,1541
91.0,1,2767,1,0,1541
92.0,1,2767,1,0,1541
93.0,0,2767,0,0,1541
94.0,0,2767,0,0,1541
95.0,0,2767,0,0,1541
96.0,0,2767,0,0,1541
97.0,0,2767,0,0,1541
98.0,0,2767,0,0,1541
99.0,0,2767,0,0,1541
100.0,0,2767,0,0,1541
