time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2,1,9999,1,0,0
3,1,9999,1,0,0
4,1,9999,1,0,0
5,1,9999,1,0,0
6,1,9999,1,0,0
7,1,9999,1,0,0
8,1,9999,1,0,0
9.0,6,9994,6,0,0
10.0,14,9985,14,1,0
11.0,23,9976,23,3,0
12.0,31,9968,31,4,0
13.0,44,9955,44,8,0
14.0,60,9939,60,12,0
15.0,74,9925,74,16,0
16.0,99,9900,99,21,0
17.0,130,9869,130,27,0
18.0,159,9840,159,31,0
19.0,220,9774,220,41,0
20.0,299,9687,299,62,0
21.0,375,9604,375,78,0
22.0,460,9512,460,97,0
23.0,574,9389,574,115,0
24.0,669,9281,669,144,1
25.0,829,9109,829,192,3
26.0,1017,8900,1017,239,4
27.0,1190,8698,1190,271,8
28.0,1424,8435,1424,317,12
29.0,1622,8177,1622,374,16
30.0,1818,7910,1818,443,21
31.0,1964,7691,1964,488,27
32.0,2192,7386,2192,547,31
33.0,2364,7099,2364,595,41
34.0,2529,6835,2529,625,62
35.0,2700,6526,2700,675,78
36.0,2818,6228,2818,726,97
37.0,2915,5947,2915,776,115
38.0,2931,5688,2931,805,145
39.0,2925,5447,2925,795,195
40.0,2897,5234,2897,795,243
41.0,2926,5001,2926,809,279
42.0,2815,4820,2815,803,329
43.0,2700,4645,2700,776,390
44.0,2555,4503,2555,738,464
45.0,2400,4364,2400,711,515
46.0,2231,4242,2231,673,578
47.0,2062,4140,2062,636,636
48.0,1915,4036,1915,603,687
49.0,1728,3956,1728,554,753
50.0,1577,3872,1577,505,823
51.0,1396,3802,1396,456,891
52.0,1254,3748,1254,410,950
53.0,1120,3701,1120,376,990
54.0,1014,3653,1014,338,1038
55.0,883,3619,883,297,1088
56.0,776,3585,776,259,1132
57.0,692,3554,692,232,1166
58.0,596,3528,596,203,1202
59.0,533,3504,533,186,1226
60.0,465,3484,465,163,1251
61.0,405,3472,405,143,1272
62.0,353,3465,353,125,1290
63.0,305,3455,305,109,1307
64.0,251,3450,251,88,1328
65.0,214,3443,214,70,1347
66.0,180,3436,180,60,1360
67.0,161,3425,161,54,1366
68.0,141,3416,141,47,1376
69.0,121,3410,121,39,1385
70.0,100,3407,100,33,1391
71.0,86,3403,86,26,1398
72.0,77,3398,77,21,1405
73.0,65,3394,65,16,1412
74.0,59,3393,59,14,1414
75.0,55,3390,55,15,1415
76.0,52,3389,52,15,1415
77.0,40,3389,40,14,1416
78.0,35,3388,35,14,1416
79.0,32,3385,32,14,1417
80.0,27,3384,27,12,1420
81.0,24,3383,24,12,1420
82.0,19,3382,19,9,1423
83.0,16,3382,16,8,1424
84.0,16,3381,16,9,1424
85.0,15,3381,15,9,1424
86.0,13,3380,13,7,1426
87.0,11,3380,11,5,1428
88.0,10,3380,10,5,1428
89.0,6,3380,6,3,1430
90.0,6,3380,6,3,1430
91.0,5,3380,5,3,1430
92.0,4,3380,4,3,1430
93.0,3,3380,3,2,1431
94.0,2,3380,2,1,1432
95.0,2,3380,2,1,1432
96.0,1,3380,1,1,1432
97.0,1,3380,1,1,1432
98.0,0,3380,0,0,1433
99.0,0,3380,0,0,1433
100.0,0,3380,0,0,1433
