time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,999,1,0,0
2,1,999,1,0,0
3.0,2,998,2,1,0
4.0,3,997,3,1,0
5.0,3,997,3,1,0
6.0,4,996,4,1,0
7.0,4,996,4,1,0
8.0,5,995,5,1,0
9.0,6,994,6,1,0
10.0,5,994,5,1,0
11.0,5,994,5,1,0
12.0,7,992,7,2,0
13.0,11,988,11,3,0
14.0,11,987,11,3,0
15.0,13,985,13,4,0
16.0,16,981,16,6,0
17.0,18,978,18,5,1
18.0,26,969,26,5,1
19.0,31,963,31,7,1
20.0,40,954,40,9,1
21.0,46,948,46,11,1
22.0,57,936,57,13,1
23.0,64,926,64,14,1
24.0,77,912,77,16,1
25.0,91,897,91,20,1
26.0,109,876,109,25,2
27.0,127,854,127,27,3
28.0,144,828,144,35,3
29.0,150,817,150,36,4
30.0,170,788,170,46,6
31.0,184,770,184,53,6
32.0,200,744,200,59,6
33.0,218,715,218,63,8
34.0,239,680,239,70,10
35.0,252,654,252,78,12
36.0,264,625,264,83,14
37.0,270,599,270,88,15
38.0,283,566,283,97,17
39.0,311,525,311,101,21
40.0,318,495,318,105,27
41.0,346,453,346,109,30
42.0,354,417,354,111,38
43.0,352,394,352,114,40
44.0,333,375,333,104,52
45.0,334,351,334,101,59
46.0,325,332,325,98,65
47.0,327,304,327,96,71
48.0,325,275,325,94,80
49.0,305,252,305,90,90
50.0,295,235,295,87,97
51.0,268,221,268,85,103
52.0,254,198,254,79,114
53.0,247,179,247,74,122
54.0,240,159,240,67,132
55.0,227,145,227,60,139
56.0,221,125,221,55,149
57.0,197,120,197,50,154
58.0,187,106,187,49,156
59.0,173,99,173,48,160
60.0,163,93,163,47,163
61.0,155,87,155,46,167
62.0,138,79,138,43,174
63.0,124,71,124,40,180
64.0,103,71,103,36,184
65.0,87,69,87,32,188
66.0,71,65,71,28,193
67.0,64,64,64,26,196
68.0,50,62,50,23,199
69.0,52,56,52,25,199
70.0,47,52,47,20,204
71.0,44,52,44,20,204
72.0,41,50,41,20,205
73.0,34,49,34,17,208
74.0,32,49,32,15,210
75.0,28,48,28,12,213
76.0,21,48,21,8,217
77.0,18,48,18,5,220
78.0,16,48,16,5,220
79.0,12,48,12,5,220
80.0,7,48,7,4,221
81.0,6,48,6,3,222
82.0,5,48,5,3,222
83.0,2,48,2,1,224
84.0,3,47,3,1,224
85.0,2,47,2,1,224
86.0,1,47,1,0,225
87.0,1,47,1,0,225
88.0,1,47,1,0,225
89.0,1,47,1,0,225
90.0,1,47,1,0,225
91.0,1,47,1,0,225
92.0,1,47,1,0,225
93.0,1,47,1,0,225
94.0,0,47,0,0,225
95.0,0,47,0,0,225
96.0,0,47,0,0,225
97.0,0,47,0,0,225
98.0,0,47,0,0,225
99.0,0,47,0,0,225
100.0,0,47,0,0,225
