time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2,1,9999,1,0,0
3.0,3,9997,3,1,0
4.0,5,9995,5,2,0
5.0,8,9992,8,3,0
6.0,16,9984,16,5,0
7.0,19,9981,19,5,0
8.0,33,9967,33,10,0
9.0,48,9952,48,17,0
10.0,74,9925,74,21,0
11.0,121,9878,121,31,0
12.0,200,9799,200,42,0
13.0,311,9687,311,69,0
14.0,470,9527,470,107,0
15.0,718,9277,718,153,0
16.0,1137,8852,1137,263,0
17.0,1733,8252,1733,407,1
18.0,2565,7410,2565,599,2
19.0,3653,6313,3653,831,3
20.0,4749,5192,4749,1087,5
21.0,5909,3995,5909,1351,5
22.0,6938,2893,6938,1582,10
23.0,7728,2011,7728,1762,17
24.0,8266,1347,8266,1896,21
25.0,8514,885,8514,1981,31
26.0,8501,572,8501,2033,42
27.0,8213,378,8213,2061,69
28.0,7644,260,7644,2051,107
29.0,6832,162,6832,2030,153
30.0,5896,125,5896,1929,263
31.0,4850,93,4850,1790,408
32.0,3805,79,3805,1599,601
33.0,2886,70,2886,1369,834
34.0,2106,66,2106,1112,1092
35.0,1482,59,1482,851,1356
36.0,999,56,999,616,1592
37.0,677,52,677,430,1779
38.0,450,51,450,293,1917
39.0,284,49,284,198,2012
40.0,194,48,194,135,2075
41.0,115,46,115,80,2130
42.0,76,45,76,52,2158
43.0,45,45,45,27,2183
44.0,33,45,33,18,2192
45.0,23,45,23,12,2198
46.0,20,44,20,10,2200
47.0,14,44,14,7,2203
48.0,13,44,13,6,2204
49.0,8,44,8,3,2207
50.0,6,44,6,2,2208
51.0,4,43,4,2,2209
52.0,2,43,2,1,2210
53.0,2,43,2,1,2210
54.0,2,43,2,1,2210
55.0,2,43,2,1,2210
56.0,1,43,1,1,2210
57.0,1,43,1,1,2210
58.0,1,43,1,1,2210
59.0,1,43,1,1,2210
60.0,1,43,1,1,2210
61.0,1,43,1,1,2210
62.0,1,43,1,1,2210
63.0,1,43,1,1,2210
64.0,1,43,1,1,2210
65.0,0,43,0,0,2211
66.0,0,43,0,0,2211
67.0,0,43,0,0,2211
68.0,0,43,0,0,2211
69.0,0,43,0,0,2211
70.0,0,43,0,0,2211
71.0,0,43,0,0,2211
72.0,0,43,0,0,2211
73.0,0,43,0,0,2211
74.0,0,43,0,0,2211
75.0,0,43,0,0,2211
76.0,0,43,0,0,2211
77.0,0,43,0,0,2211
78.0,0,43,0,0,2211
79.0,0,43,0,0,2211
80.0,0,43,0,0,2211
81.0,0,43,0,0,2211
82.0,0,43,0,0,2211
83.0,0,43,0,0,2211
84.0,0,43,0,0,2211
85.0,0,43,0,0,2211
86.0,0,43,0,0,2211
87.0,0,43,0,0,2211
88.0,0,43,0,0,2211
89.0,0,43,0,0,2211
90.0,0,43,0,0,2211
91.0,0,43,0,0,2211
92.0,0,43,0,0,2211
93.0,0,43,0,0,2211
94.0,0,43,0,0,2211
95.0,0,43,0,0,2211
96.0,0,43,0,0,2211
97.0,0,43,0,0,2211
98.0,0,43,0,0,2211
99.0,0,43,0,0,2211
100.0,0,43,0,0,2211
