time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1.0,4,9996,4,1,0
2.0,10,9990,10,2,0
3.0,17,9983,17,2,0
4.0,30,9970,30,6,0
5.0,49,9951,49,9,0
6.0,73,9927,73,16,0
7.0,114,9886,114,22,0
8.0,190,9810,190,38,0
9.0,287,9713,287,62,0
10.0,456,9543,456,96,0
11.0,728,9269,728,155,0
12.0,1147,8845,1147,245,0
13.0,1731,8254,1731,386,0
14.0,2553,7423,2553,546,0
15.0,3584,6375,3584,758,1
16.0,4767,5174,4767,1019,2
17.0,5885,4021,5885,1255,2
18.0,6877,2965,6877,1477,6
19.0,7689,2077,7689,1667,9
20.0,8244,1379,8244,1802,16
21.0,8489,913,8489,1897,22
22.0,8440,612,8440,1957,38
23.0,8152,426,8152,1976,62
24.0,7592,281,7592,1980,96
25.0,6797,182,6797,1938,155
26.0,5818,132,5818,1862,245
27.0,4786,106,4786,1726,386
28.0,3821,81,3821,1569,546
29.0,2925,69,2925,1357,759
30.0,2120,56,2120,1102,1021
31.0,1528,47,1528,869,1257
32.0,1082,42,1082,643,1483
33.0,748,40,748,451,1676
34.0,499,40,499,309,1818
35.0,319,37,319,208,1919
36.0,209,35,209,132,1995
37.0,146,34,146,89,2038
38.0,86,34,86,51,2076
39.0,58,34,58,34,2093
40.0,39,33,39,21,2107
41.0,28,33,28,16,2112
42.0,20,33,20,13,2115
43.0,18,33,18,12,2116
44.0,11,33,11,5,2123
45.0,5,33,5,2,2126
46.0,3,33,3,2,2126
47.0,1,33,1,1,2127
48.0,1,33,1,1,2127
49.0,1,33,1,1,2127
50.0,1,33,1,1,2127
51.0,1,33,1,1,2127
52.0,1,33,1,1,2127
53.0,1,33,1,1,2127
54.0,0,33,0,0,2128
55.0,0,33,0,0,2128
56.0,0,33,0,0,2128
57.0,0,33,0,0,2128
58.0,0,33,0,0,2128
59.0,0,33,0,0,2128
60.0,0,33,0,0,2128
61.0,0,33,0,0,2128
62.0,0,33,0,0,2128
63.0,0,33,0,0,2128
64.0,0,33,0,0,2128
65.0,0,33,0,0,2128
66.0,0,33,0,0,2128
67.0,0,33,0,0,2128
68.0,0,33,0,0,2128
69.0,0,33,0,0,2128
70.0,0,33,0,0,2128
71.0,0,33,0,0,2128
72.0,0,33,0,0,2128
73.0,0,33,0,0,2128
74.0,0,33,0,0,2128
75.0,0,33,0,0,2128
76.0,0,33,0,0,2128
77.0,0,33,0,0,2128
78.0,0,33,0,0,2128
79.0,0,33,0,0,2128
80.0,0,33,0,0,2128
81.0,0,33,0,0,2128
82.0,0,33,0,0,2128
83.0,0,33,0,0,2128
84.0,0,33,0,0,2128
85.0,0,33,0,0,2128
86.0,0,33,0,0,2128
87.0,0,33,0,0,2128
88.0,0,33,0,0,2128
89.0,0,33,0,0,2128
90.0,0,33,0,0,2128
91.0,0,33,0,0,2128
92.0,0,33,0,0,2128
93.0,0,33,0,0,2128
94.0,0,33,0,0,2128
95.0,0,33,0,0,2128
96.0,0,33,0,0,2128
97.0,0,33,0,0,2128
98.0,0,33,0,0,2128
99.0,0,33,0,0,2128
100.0,0,33,0,0,2128
