time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,1,0
2,1,9999,1,1,0
3.0,3,9997,3,3,0
4.0,3,9997,3,3,0
5.0,6,9994,6,4,0
6.0,19,9981,19,9,0
7.0,24,9976,24,11,0
8.0,29,9971,29,11,0
9.0,43,9957,43,14,0
10.0,83,9917,83,17,0
11.0,119,9881,119,27,0
12.0,196,9804,196,39,0
13.0,331,9669,331,62,0
14.0,531,9468,531,98,1
15.0,861,9136,861,167,1
16.0,1337,8652,1337,270,1
17.0,2004,7980,2004,404,3
18.0,2943,7036,2943,592,3
19.0,4036,5931,4036,815,4
20.0,5193,4732,5193,1069,9
21.0,6353,3544,6353,1327,11
22.0,7307,2525,7307,1527,11
23.0,7977,1740,7977,1684,14
24.0,8376,1174,8376,1805,17
25.0,8505,772,8505,1889,27
26.0,8369,515,8369,1937,39
27.0,7988,337,7988,1945,62
28.0,7304,228,7304,1937,99
29.0,6422,160,6422,1883,168
30.0,5420,119,5420,1789,271
31.0,4395,80,4395,1656,407
32.0,3402,66,3402,1473,595
33.0,2563,56,2563,1251,819
34.0,1866,52,1866,993,1078
35.0,1304,46,1304,733,1338
36.0,909,44,909,534,1538
37.0,604,42,604,374,1698
38.0,400,42,400,250,1822
39.0,255,40,255,156,1916
40.0,164,39,164,96,1976
41.0,97,39,97,65,2007
42.0,59,39,59,36,2036
43.0,37,38,37,21,2051
44.0,25,38,25,12,2060
45.0,16,38,16,9,2063
46.0,10,38,10,4,2068
47.0,7,37,7,2,2070
48.0,6,37,6,1,2071
49.0,4,37,4,1,2071
50.0,2,37,2,0,2072
51.0,2,37,2,0,2072
52.0,2,37,2,0,2072
53.0,1,37,1,0,2072
54.0,1,37,1,0,2072
55.0,1,37,1,0,2072
56.0,1,37,1,0,2072
57.0,0,37,0,0,2072
58.0,0,37,0,0,2072
59.0,0,37,0,0,2072
60.0,0,37,0,0,2072
61.0,0,37,0,0,2072
62.0,0,37,0,0,2072
63.0,0,37,0,0,2072
64.0,0,37,0,0,2072
65.0,0,37,0,0,2072
66.0,0,37,0,0,2072
67.0,0,37,0,0,2072
68.0,0,37,0,0,2072
69.0,0,37,0,0,2072
70.0,0,37,0,0,2072
71.0,0,37,0,0,2072
72.0,0,37,0,0,2072
73.0,0,37,0,0,2072
74.0,0,37,0,0,2072
75.0,0,37,0,0,2072
76.0,0,37,0,0,2072
77.0,0,37,0,0,2072
78.0,0,37,0,0,2072
79.0,0,37,0,0,2072
80.0,0,37,0,0,2072
81.0,0,37,0,0,2072
82.0,0,37,0,0,2072
83.0,0,37,0,0,2072
84.0,0,37,0,0,2072
85.0,0,37,0,0,2072
86.0,0,37,0,0,2072
87.0,0,37,0,0,2072
88.0,0,37,0,0,2072
89.0,0,37,0,0,2072
90.0,0,37,0,0,2072
91.0,0,37,0,0,2072
92.0,0,37,0,0,2072
93.0,0,37,0,0,2072
94.0,0,37,0,0,2072
95.0,0,37,0,0,2072
96.0,0,37,0,0,2072
97.0,0,37,0,0,2072
98.0,0,37,0,0,2072
99.0,0,37,0,0,2072
100.0,0,37,0,0,2072
