time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2,1,9999,1,0,0
3,1,9999,1,0,0
4.0,3,9997,3,1,0
5.0,3,9997,3,1,0
6.0,7,9993,7,1,0
7.0,8,9992,8,2,0
8.0,14,9986,14,3,0
9.0,32,9968,32,11,0
10.0,51,9948,51,16,0
11.0,87,9912,87,25,0
12.0,139,9860,139,35,0
13.0,233,9766,233,55,0
14.0,374,9624,374,86,0
15.0,627,9371,627,152,0
16.0,1000,8994,1000,241,0
17.0,1605,8389,1605,373,0
18.0,2391,7597,2391,536,1
19.0,3420,6558,3420,763,1
20.0,4627,5336,4627,1039,1
21.0,5884,4051,5884,1344,2
22.0,6979,2913,6979,1584,3
23.0,7836,1974,7836,1775,11
24.0,8428,1266,8428,1928,16
25.0,8650,848,8650,2007,25
26.0,8645,555,8645,2062,35
27.0,8339,368,8339,2071,55
28.0,7816,232,7816,2070,86
29.0,7005,165,7005,2015,152
30.0,6019,116,6019,1935,241
31.0,4937,87,4937,1811,373
32.0,3896,67,3896,1652,537
33.0,2941,55,2941,1429,764
34.0,2122,48,2122,1155,1040
35.0,1490,44,1490,849,1346
36.0,1024,41,1024,608,1587
37.0,667,41,667,409,1786
38.0,404,40,404,252,1944
39.0,261,39,261,164,2032
40.0,157,38,157,100,2097
41.0,107,38,107,71,2126
42.0,63,37,63,41,2156
43.0,44,37,44,30,2167
44.0,31,36,31,22,2176
45.0,19,36,19,14,2184
46.0,11,36,11,9,2189
47.0,7,36,7,5,2193
48.0,5,36,5,3,2195
49.0,4,36,4,3,2195
50.0,4,36,4,3,2195
51.0,4,36,4,3,2195
52.0,2,36,2,2,2196
53.0,2,36,2,2,2196
54.0,2,35,2,1,2197
55.0,2,35,2,1,2197
56.0,2,35,2,1,2197
57.0,2,35,2,1,2197
58.0,1,35,1,0,2198
59.0,1,35,1,0,2198
60.0,1,35,1,0,2198
61.0,1,35,1,0,2198
62.0,1,35,1,0,2198
63.0,1,35,1,0,2198
64.0,0,35,0,0,2198
65.0,0,35,0,0,2198
66.0,0,35,0,0,2198
67.0,0,35,0,0,2198
68.0,0,35,0,0,2198
69.0,0,35,0,0,2198
70.0,0,35,0,0,2198
71.0,0,35,0,0,2198
72.0,0,35,0,0,2198
73.0,0,35,0,0,2198
74.0,0,35,0,0,2198
75.0,0,35,0,0,2198
76.0,0,35,0,0,2198
77.0,0,35,0,0,2198
78.0,0,35,0,0,2198
79.0,0,35,0,0,2198
80.0,0,35,0,0,2198
81.0,0,35,0,0,2198
82.0,0,35,0,0,2198
83.0,0,35,0,0,2198
84.0,0,35,0,0,2198
85.0,0,35,0,0,2198
86.0,0,35,0,0,2198
87.0,0,35,0,0,2198
88.0,0,35,0,0,2198
89.0,0,35,0,0,2198
90.0,0,35,0,0,2198
91.0,0,35,0,0,2198
92.0,0,35,0,0,2198
93.0,0,35,0,0,2198
94.0,0,35,0,0,2198
95.0,0,35,0,0,2198
96.0,0,35,0,0,2198
97.0,0,35,0,0,2198
98.0,0,35,0,0,2198
99.0,0,35,0,0,2198
100.0,0,35,0,0,2198
