time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,4999,1,0,0
2,1,4999,1,0,0
3,1,4999,1,0,0
4.0,2,4998,2,0,0
5.0,2,4998,2,0,0
6.0,3,4997,3,0,0
7.0,3,4997,3,0,0
8.0,3,4997,3,0,0
9.0,3,4997,3,0,0
10.0,2,4997,2,0,0
11.0,3,4996,3,1,0
12.0,3,4996,3,1,0
13.0,3,4996,3,1,0
14.0,2,4996,2,1,0
15.0,2,4996,2,1,0
16.0,7,4990,7,4,0
17.0,26,4971,26,8,0
18.0,53,4944,53,14,0
19.0,89,4908,89,22,0
20.0,127,4870,127,36,0
21.0,161,4836,161,42,0
22.0,210,4787,210,52,0
23.0,253,4744,253,64,0
24.0,320,4677,320,76,0
25.0,397,4599,397,92,1
26.0,490,4503,490,120,1
27.0,605,4373,605,145,1
28.0,712,4245,712,175,1
29.0,817,4112,817,203,1
30.0,938,3964,938,228,4
31.0,1042,3828,1042,247,8
32.0,1156,3669,1156,283,14
33.0,1273,3513,1273,302,22
34.0,1369,3348,1369,315,36
35.0,1468,3182,1468,340,42
36.0,1554,3018,1554,363,52
37.0,1587,2868,1587,384,64
38.0,1648,2697,1648,415,76
39.0,1689,2534,1689,434,93
40.0,1698,2377,1698,435,121
41.0,1707,2230,1707,449,146
42.0,1672,2118,1672,447,176
43.0,1638,1995,1638,447,204
44.0,1556,1911,1556,436,232
45.0,1470,1839,1470,429,255
46.0,1379,1757,1379,408,297
47.0,1294,1698,1294,393,324
48.0,1185,1652,1185,378,351
49.0,1074,1605,1074,359,382
50.0,946,1572,946,334,415
51.0,833,1544,833,304,448
52.0,728,1522,728,264,491
53.0,625,1494,625,236,527
54.0,547,1476,547,212,556
55.0,460,1468,460,173,595
56.0,383,1456,383,151,623
57.0,319,1445,319,124,651
58.0,283,1430,283,109,668
59.0,236,1426,236,94,684
60.0,194,1422,194,73,705
61.0,166,1413,166,64,717
62.0,139,1409,139,52,729
63.0,110,1406,110,42,741
64.0,93,1402,93,35,749
65.0,83,1401,83,32,752
66.0,75,1400,75,30,755
67.0,58,1399,58,22,763
68.0,41,1398,41,17,768
69.0,38,1398,38,17,768
70.0,28,1398,28,11,774
71.0,21,1398,21,10,775
72.0,15,1398,15,8,777
73.0,13,1398,13,7,778
74.0,10,1398,10,7,778
75.0,6,1398,6,4,781
76.0,6,1398,6,4,781
77.0,3,1398,3,2,783
78.0,1,1398,1,1,784
79.0,1,1398,1,1,784
80.0,0,1398,0,0,785
81.0,0,1398,0,0,785
82.0,0,1398,0,0,785
83.0,0,1398,0,0,785
84.0,0,1398,0,0,785
85.0,0,1398,0,0,785
86.0,0,1398,0,0,785
87.0,0,1398,0,0,785
88.0,0,1398,0,0,785
89.0,0,1398,0,0,785
90.0,0,1398,0,0,785
91.0,0,1398,0,0,785
92.0,0,1398,0,0,785
93.0,0,1398,0,0,785
94.0,0,1398,0,0,785
95.0,0,1398,0,0,785
96.0,0,1398,0,0,785
97.0,0,1398,0,0,785
98.0,0,1398,0,0,785
99.0,0,1398,0,0,785
100.0,0,1398,0,0,785
