time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2.0,2,9998,2,0,0
3.0,2,9998,2,0,0
4.0,3,9997,3,0,0
5.0,4,9996,4,1,0
6.0,7,9993,7,1,0
7.0,7,9993,7,1,0
8.0,7,9993,7,1,0
9.0,8,9992,8,2,0
10.0,8,9991,8,3,0
11.0,9,9990,9,3,0
12.0,11,9987,11,5,0
13.0,13,9985,13,5,0
14.0,14,9983,14,6,0
15.0,18,9979,18,6,0
16.0,20,9974,20,7,0
17.0,30,9964,30,9,0
18.0,37,9957,37,13,0
19.0,51,9942,51,13,1
20.0,77,9916,77,17,1
21.0,93,9899,93,18,1
22.0,130,9861,130,31,1
23.0,166,9822,166,37,2
24.0,211,9775,211,47,3
25.0,272,9710,272,61,3
26.0,345,9631,345,77,5
27.0,422,9546,422,94,5
28.0,539,9425,539,123,6
29.0,694,9256,694,161,6
30.0,854,9073,854,195,7
31.0,1072,8837,1072,239,9
32.0,1332,8548,1332,300,13
33.0,1650,8197,1650,366,14
34.0,2049,7758,2049,462,18
35.0,2480,7275,2480,573,19
36.0,2969,6712,2969,678,32
37.0,3451,6155,3451,777,39
38.0,3949,5555,3949,879,50
39.0,4380,4979,4380,967,64
40.0,4789,4404,4789,1082,82
41.0,5122,3864,5122,1178,99
42.0,5432,3300,5432,1275,129
43.0,5545,2865,5545,1326,167
44.0,5540,2496,5540,1363,202
45.0,5498,2121,5498,1389,248
46.0,5304,1805,5304,1391,313
47.0,5027,1564,5027,1372,380
48.0,4599,1405,4599,1305,480
49.0,4139,1279,4139,1226,592
50.0,3690,1168,3690,1136,710
51.0,3245,1080,3245,1046,816
52.0,2784,991,2784,952,929
53.0,2401,926,2401,865,1031
54.0,2022,875,2022,743,1164
55.0,1644,837,1644,640,1277
56.0,1300,805,1300,519,1404
57.0,1049,774,1049,434,1493
58.0,872,753,872,365,1565
59.0,727,733,727,296,1637
60.0,587,723,587,231,1704
61.0,476,714,476,184,1752
62.0,382,705,382,152,1785
63.0,303,701,303,119,1818
64.0,240,696,240,93,1846
65.0,199,693,199,78,1862
66.0,156,691,156,59,1881
67.0,117,688,117,44,1896
68.0,88,688,88,33,1907
69.0,62,687,62,23,1917
70.0,48,687,48,17,1923
71.0,36,687,36,13,1927
72.0,25,687,25,10,1930
73.0,18,687,18,7,1933
74.0,13,687,13,5,1935
75.0,10,687,10,4,1936
76.0,7,687,7,3,1937
77.0,4,687,4,3,1937
78.0,2,687,2,1,1939
79.0,0,687,0,0,1940
80.0,0,687,0,0,1940
81.0,0,687,0,0,1940
82.0,0,687,0,0,1940
83.0,0,687,0,0,1940
84.0,0,687,0,0,1940
85.0,0,687,0,0,1940
86.0,0,687,0,0,1940
87.0,0,687,0,0,1940
88.0,0,687,0,0,1940
89.0,0,687,0,0,1940
90.0,0,687,0,0,1940
91.0,0,687,0,0,1940
92.0,0,687,0,0,1940
93.0,0,687,0,0,1940
94.0,0,687,0,0,1940
95.0,0,687,0,0,1940
96.0,0,687,0,0,1940
97.0,0,687,0,0,1940
98.0,0,687,0,0,1940
99.0,0,687,0,0,1940
100.0,0,687,0,0,1940
