time,amount_of_infected,amount_of_susceptible,amount_of_contagious,amount_of_critically_infected,amount_of_dead
1,1,9999,1,0,0
2.0,2,9998,2,1,0
3.0,4,9996,4,1,0
4.0,4,9996,4,1,0
5.0,4,9996,4,1,0
6.0,4,9996,4,1,0
7.0,4,9996,4,1,0
8.0,4,9996,4,1,0
9.0,4,9996,4,1,0
10.0,3,9996,3,1,0
11.0,3,9996,3,1,0
12.0,4,9995,4,1,0
13.0,3,9994,3,1,0
14.0,5,9992,5,1,0
15.0,5,9992,5,1,0
16.0,4,9992,4,0,1
17.0,6,9990,6,0,1
18.0,7,9989,7,0,1
19.0,8,9988,8,0,1
20.0,9,9987,9,0,1
21.0,10,9986,10,1,1
22.0,9,9986,9,1,1
23.0,11,9983,11,2,1
24.0,12,9980,12,3,1
25.0,13,9979,13,3,1
26.0,14,9978,14,3,1
27.0,16,9974,16,4,1
28.0,18,9971,18,6,1
29.0,24,9964,24,7,1
30.0,28,9959,28,8,1
31.0,30,9957,30,8,1
32.0,35,9952,35,9,1
33.0,39,9946,39,11,1
34.0,39,9944,39,11,1
35.0,43,9938,43,13,2
36.0,52,9928,52,15,2
37.0,58,9918,58,16,3
38.0,74,9900,74,22,4
39.0,78,9890,78,27,4
40.0,93,9871,93,35,4
41.0,109,9852,109,39,5
42.0,117,9838,117,41,7
43.0,127,9823,127,42,8
44.0,138,9809,138,42,9
45.0,149,9795,149,43,9
46.0,160,9775,160,47,10
47.0,170,9755,170,50,12
48.0,185,9729,185,57,12
49.0,199,9707,199,59,15
50.0,204,9689,204,59,17
51.0,217,9660,217,64,19
52.0,237,9623,237,67,26
53.0,248,9594,248,67,31
54.0,251,9570,251,63,39
55.0,266,9537,266,62,44
56.0,284,9500,284,68,48
57.0,317,9450,317,79,50
58.0,342,9405,342,89,51
59.0,377,9352,377,104,52
60.0,400,9308,400,106,57
61.0,420,9261,420,110,62
62.0,438,9209,438,119,69
63.0,456,9162,456,123,74
64.0,477,9119,477,125,76
65.0,483,9077,483,128,83
66.0,508,9015,508,136,93
67.0,548,8933,548,148,98
68.0,569,8874,569,156,102
69.0,593,8809,593,166,106
70.0,612,8743,612,171,116
71.0,623,8681,623,173,129
72.0,662,8595,662,183,140
73.0,674,8529,674,184,156
74.0,695,8462,695,192,163
75.0,720,8396,720,187,172
76.0,734,8322,734,192,188
77.0,721,8261,721,198,197
78.0,748,8183,748,206,201
79.0,773,8097,773,218,211
80.0,781,8020,781,221,229
81.0,806,7931,806,224,246
82.0,813,7847,813,229,258
83.0,834,7763,834,232,272
84.0,850,7680,850,241,287
85.0,859,7594,859,250,302
86.0,861,7518,861,250,323
87.0,877,7439,877,255,340
88.0,861,7374,861,258,355
89.0,868,7299,868,274,359
90.0,872,7218,872,270,380
91.0,878,7128,878,273,395
92.0,862,7065,862,273,407
93.0,854,6984,854,265,429
94.0,852,6906,852,260,450
95.0,838,6838,838,254,470
96.0,842,6762,842,262,487
97.0,839,6691,839,265,504
98.0,844,6615,844,256,528
99.0,830,6550,830,245,552
100.0,805,6490,805,235,573
